技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考,
立ち弱P,必、CA,300,上,5,3,10,17,+3,+7,-3,+1,,
立ち中P,CA,700,上,10,3,15,27,+3,+7,-4,±0,,
立ち強P,必、CA,800,上,10,7,17,33,+3,+7,-3,+1,,
立ち弱K,必、CA,300,上,4,4,7,14,+5,+9,-2,+2,,
立ち中K,必、CA,600,上,8,3,17,27,+4,+8,-2,+2,,
立ち強K,,800,上,7,9,18,33,+6,+10,-4,±0,,
しゃがみ弱P,必、CA,300,上,6,3,8,16,+4,+8,-2,+2,,
しゃがみ中P,必、CA,600,上,9,5,16,29,-1,+3,-5,-1,,
しゃがみ大P,,800,上,15,5,20,39,±0,+4,-5,-1,,
しゃがみ弱K,,200,下,5,2,10,16,+3,+7,-3,+1,,
しゃがみ中K,必、CA,500,下,8,3,16,26,+5,+9,-5,-1,,
しゃがみ大K,,900,下,11,4,23,37,D,D,-12,-8,,
ジャンプ弱P,,300,中,4,5,,,,,,,,
ジャンプ中P,必,700,中,7,7,,,,,,,,
垂直ジャンプ強P,,800,中,7,3,,,,,,,,
ジャンプ強P,,800,中,9,4,,,,,,,,
ジャンプ弱K,,300,中,5,6,,,,,,,,
ジャンプ中K,,500,中,7,6,,,,,,,,
ジャンプ強K,,800,中,11,6,,,,,,,,
