技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,300,上,5,3,10,17,+3,+7,-3,+1,,
立ち中P,CA,700,上,10,3,15,27,+3,+7,-4,±0,,
立ち強P,必、CA,800,上,10,7,17,33,+3,+7,-3,+1,,
立ち弱K,必、CA,300,上,4,4,7,14,+5,+9,-2,+2,,
立ち中K,必、CA,600,上,8,3,17,27,+4,+8,-2,+2,,
立ち強K,,800,上,7,9,18,33,+6,+10,-4,±0,,
しゃがみ弱P,必、CA,300,上,6,3,8,16,+4,+8,-2,+2,,
しゃがみ中P,必、CA,600,上,9,5,16,29,-1,+3,-5,-1,,
しゃがみ大P,,800,上,15,5,20,39,±0,+4,-5,-1,,
しゃがみ弱K,,200,下,5,2,10,16,+3,+7,-3,+1,,
しゃがみ中K,必、CA,500,下,8,3,16,26,+5,+9,-5,-1,,
しゃがみ大K,,900,下,11,4,23,37,D,D,-12,-8,,
ジャンプ弱P,,300,中,4,5,,,,,,,,
ジャンプ中P,必,700,中,7,7,,,,,,,,
垂直ジャンプ強P,,800,中,7,3,,,,,,,,
ジャンプ強P,,800,中,9,4,,,,,,,,
ジャンプ弱K,,300,中,5,6,,,,,,,,
ジャンプ中K,,500,中,7,6,,,,,,,,
ジャンプ強K,,800,中,11,6,,,,,,,,
→+中P,,600,中,20,3,20,42,+3,+7,-2,+2,,
→+中K,,600,上,9,3（7）2,18,38,+6,+10,-2,+2,,
←+中K,必、CA,600,上,9,6,12,26,+8,+12,+2,+4,,
→+強P,,1000,上,18,4,31,52,D,D,-15,-11,,
↘+強P,,1000,下,14,10,22,45,D,D,-18,-14,,
↓+PP,,,,,,,98,,,,,,18F目から派生可能
↓+PP＞P,,600,上,8,7,31,45,D,,-21,,,
↓+PP＞K,,,,,,,55,,,,,,15F目からJ攻撃キャンセル可能
→+KKK,,,,,,,27,,,,,,
←+KKK,,,,,,,32,,,,,,
エレクトリックサンダー,CA,800,上,10,2（3）2（3）2,17,38,D,,-3,,,
ODエレクトリックサンダー,CA,1000,上,10,2（3）2（3）2,17,38,D,,+4,,,
弱ローリングアタック,CA,1000,上,10,11,11,31,D,,-23,,,
中ローリングアタック,CA,1200,上,12,19,11,41,D,,-23,,,
強ローリングアタック,CA,1300,上,22,端到達まで,25,,D,,-15,,,
ODローリングアタック,CA,800,上,18,端到達まで,17,,D,,-7,,,
弱バーチカルローリング,,1200,上,8,19,48,74,D,,-27,,,
中バーチカルローリング,,1300,上,8,19,48,74,D,,-27,,,
強バーチカルローリング,,1400,上,8,19,48,74,D,,-27,,,
ODバーチカルローリング,,1600,上,7,8（2）6,48,70,D,,-40,,1～10F無敵,
弱バックステップローリング,,1000,上,41,24,5,69,+10,,+4,,,
中バックステップローリング,,1000,上,41,27,5,72,+10,,+4,,,
強バックステップローリング,,1000,上,41,29,5,74,+9,,+5,,,
ODバックステップローリング,CA,1000,上,41,5（28）21（1）4,4,70,D,,+6,,,
エリアルローリング,,1000,上,13,着地まで,17,,D,,-8,,,
ODエリアルローリング,,1200,上,13,着地まで,14,,D,,+3,,,
弱ワイルドハント,,1600,投げ,34,3,57,93,D,,,,,
中ワイルドハント,,1700,投げ,39,3,57,98,D,,,,,
強ワイルドハント,,1800,投げ,43,3,57,102,D,,,,,
ODワイルドハント,,2000,投げ,32,3,57,91,D,,,,,
ローリングキャノン,,400,上,3,着地or端到達まで,9,,D,,,,,
シャウトオブアース,,2000,上,8,9,62,78,D,,-29,,1F無敵2～9F打撃無敵,
ライトニングビースト,,,,,,,10,,,,,,
グランドシェイブキャノンボール,,4000,上,10,3,61,73,D,,-46,,1～12F無敵,体力25％以下で性能アップ（ダメージ4500）
