技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,300,上,4,3,7,13,+5,+9,-2,+2,,
立ち中P,,600,上,6,4,13,22,+6,+10,-1,+3,,
立ち強P,必、CA,800,上,8,3,20,30,+2,+6,-3,+1,,
立ち弱K,必、CA,300,上,5,3,10,17,+2,+6,-3,+1,,
立ち中K,,700,上,8,3,18,28,+3,+7,-4,±0,,
立ち強K,,900,上,11,3,19,32,+2,+6,-4,±0,,
しゃがみ弱P,必、CA,300,上,4,2,8,13,+5,+9,-2,+2,,
しゃがみ中P,必、CA,600,上,7,3,14,23,+5,+9,-2,+2,,
しゃがみ大P,,700,上,10,4,15,28,+7,+11,+1,+5,,
しゃがみ弱K,,200,下,5,3,7,14,+3,+7,-2,+2,,
しゃがみ中K,必、CA,500,下,8,3,18,28,+1,+5,-5,-1,,
しゃがみ大K,,900,下,9,3,24,35,D,D,-10,-6,,
ジャンプ弱P,,300,中,4,10,,,,,,,,
ジャンプ中P,※必、CA,600,中,6,8,,,,,,,,前ジャンプのみキャンセル可能
ジャンプ強P,,800,中,8,5,,,,,,,,
ジャンプ弱K,,300,中,4,10,,,,,,,,
ジャンプ中K,,600,中,7,6,,,,,,,,
ジャンプ強K,,800,中,10,5,,,,,,,,
