技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
弱スパイラルアロー,,800,上,9,13,21,42,D,,-12,,,
中スパイラルアロー,,900,上,9,15,21,44,D,,-14,,,
強スパイラルアロー,CA,1000,上,15,3（1）14,21,51,D,,-12,,,
強スパイラルアロー（ホールド）,CA,800,上,27,3（1）14,20,62,D,,-14,,,
ODスパイラルアロー,CA,800,上,13,3（1）14,20,48,D,,-14,,,
弱キャノンスパイク,CA,900,上,5,12,40,56,D,,-36,,,
中キャノンスパイク,CA,1000,上,6,12,41,58,D,,-36,,,
強キャノンスパイク,CA,1200,上,7,12,44,62,D,,-36,,,
強キャノンスパイク（ホールド）,CA,1500,上,24,12,45,80,D,,-40,,20～23F無敵,
ODキャノンスパイク,,1500,上,6,12,46,63,D,,-40,,1～7F無敵,
弱アクセルスピンナックル,CA,800,上,21,4,16,40,+2,,-3,,,
中アクセルスピンナックル,CA,800,上,24,4,16,43,+3,,-2,,6～20F弾無敵,
強アクセルスピンナックル,CA,800,上,28,4,17,48,+5,,+3,,6～24F弾無敵,
ODアクセルスピンナックル,CA,800,上,25,4,17,45,+7,,-2,,3～24F弾無敵,近い距離で出した場合裏周る（発生28F)
キャノンストライク,,600,上,13,着地まで,12,,-1,,-7,,,
ODキャノンストライク,CA,800,上,13,着地まで,12,,±0,,-4,,,
フーリガンコンビネーション,,,,,,,,,,,,,20F目から各種派生可能
フーリガンコンビネーション（ホールド）,,,,,,,,,,,,,40F目から各種派生可能
レイザーエッジスライサー,CA,1000,下,50,9,13,71,D,,+2,,,
レイザーエッジスライサー（ホールド）,CA,1200,下,70,9（10）5,17,110,D,,+2,,,
（フーリガン派生）キャノンストライク,,600,上,13,着地まで,12,,-1,,-6,,,
（フーリガン派生）キャノンストライク（ホールド）,,800,上,13,着地まで,12,,+4,,±0,,,
リバースエッジ,,800,中,18,4,15,36,+6,,-4,,,
リバースエッジ（ホールド）,,1200,中,18,4（14）4,13,52,+8,,-2,,,
フェイタルレッグツイスター,,1800,投げ,10,3,30,42,D,,,,,
フェイタルレッグツイスター（ホールド）,,1000,投げ,10,3,30,42,D,,,,,
サイレントステップ,,,,,,14,,,,,,,
ODフーリガンコンビネーション,,,,,,,,,,,,,20F目から各種派生可能
ODレイザーエッジスライサー,CA,1200,下,50,9（10）5,17,90,D,,+2,,,
（フーリガン派生）ODキャノンストライク,CA,800,上,13,着地まで,12,,+4,,±0,,,
ODリバースエッジ,CA,1200,中,18,4（14）4,13,,+8,,-2,,,
ODフェイタルレッグスルー,,1000,投げ,10,3,32,44,D,,,,,
