技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,300,上,4,3,7,13,+5,+9,-2,+2,,
立ち中P,,600,上,6,4,13,22,+6,+10,-1,+3,,
立ち強P,必、CA,800,上,8,3,20,30,+2,+6,-3,+1,,
立ち弱K,必、CA,300,上,5,3,10,17,+2,+6,-3,+1,,
立ち中K,,700,上,8,3,18,28,+3,+7,-4,±0,,
立ち強K,,900,上,11,3,19,32,+2,+6,-4,±0,,
しゃがみ弱P,必、CA,300,上,4,2,8,13,+5,+9,-2,+2,,
しゃがみ中P,必、CA,600,上,7,3,14,23,+5,+9,-2,+2,,
しゃがみ大P,,700,上,10,4,15,28,+7,+11,+1,+5,,
しゃがみ弱K,,200,下,5,3,7,14,+3,+7,-2,+2,,
しゃがみ中K,必、CA,500,下,8,3,18,28,+1,+5,-5,-1,,
しゃがみ大K,,900,下,9,3,24,35,D,D,-10,-6,,
ジャンプ弱P,,300,中,4,10,,,,,,,,
ジャンプ中P,※必、CA,600,中,6,8,,,,,,,,前ジャンプのみキャンセル可能
ジャンプ強P,,800,中,8,5,,,,,,,,
ジャンプ弱K,,300,中,4,10,,,,,,,,
ジャンプ中K,,600,中,7,6,,,,,,,,
ジャンプ強K,,800,中,10,5,,,,,,,,
←+中P,必、CA,500,上,5,5,12,21,+4,+9,-1,+3,,
→+強K,必、CA,800,上,18,3,25,45,D,D,-12,-8,,
←+強K,必、CA,800,上,9,3,18,29,D,D,-7,-3,,
←+中P＞強K,,600,上,9,3,23,34,D,,-12,,,
立ち強P＞強K,必、CA,800,上,13,4（12）3,29,60,D,,-12,,,強K初段のみキャンセル可能
弱スパイラルアロー,,800,上,9,13,21,42,D,,-12,,,
中スパイラルアロー,,900,上,9,15,21,44,D,,-14,,,
強スパイラルアロー,CA,1000,上,15,3（1）14,21,51,D,,-12,,,
強スパイラルアロー（ホールド）,CA,800,上,27,3（1）14,20,62,D,,-14,,,
ODスパイラルアロー,CA,800,上,13,3（1）14,20,48,D,,-14,,,
弱キャノンスパイク,CA,900,上,5,12,40,56,D,,-36,,,
中キャノンスパイク,CA,1000,上,6,12,41,58,D,,-36,,,
強キャノンスパイク,CA,1200,上,7,12,44,62,D,,-36,,,
強キャノンスパイク（ホールド）,CA,1500,上,24,12,45,80,D,,-40,,20～23F無敵,
ODキャノンスパイク,,1500,上,6,12,46,63,D,,-40,,1～7F無敵,
弱アクセルスピンナックル,CA,800,上,21,4,16,40,+2,,-3,,,
中アクセルスピンナックル,CA,800,上,24,4,16,43,+3,,-2,,6～20F弾無敵,
強アクセルスピンナックル,CA,800,上,28,4,17,48,+5,,+3,,6～24F弾無敵,
ODアクセルスピンナックル,CA,800,上,25,4,17,45,+7,,-2,,3～24F弾無敵,近い距離で出した場合裏周る（発生28F)
キャノンストライク,,600,上,13,着地まで,12,,-1,,-7,,,
ODキャノンストライク,CA,800,上,13,着地まで,12,,±0,,-4,,,
フーリガンコンビネーション,,,,,,,,,,,,,20F目から各種派生可能
フーリガンコンビネーション（ホールド）,,,,,,,,,,,,,40F目から各種派生可能
レイザーエッジスライサー,CA,1000,下,50,9,13,71,D,,+2,,,
レイザーエッジスライサー（ホールド）,CA,1200,下,70,9（10）5,17,110,D,,+2,,,
（フーリガン派生）キャノンストライク,,600,上,13,着地まで,12,,-1,,-6,,,
（フーリガン派生）キャノンストライク（ホールド）,,800,上,13,着地まで,12,,+4,,±0,,,
リバースエッジ,,800,中,18,4,15,36,+6,,-4,,,
リバースエッジ（ホールド）,,1200,中,18,4（14）4,13,52,+8,,-2,,,
フェイタルレッグツイスター,,1800,投げ,10,3,30,42,D,,,,,
フェイタルレッグツイスター（ホールド）,,1000,投げ,10,3,30,42,D,,,,,
サイレントステップ,,,,,,14,,,,,,,
ODフーリガンコンビネーション,,,,,,,,,,,,,20F目から各種派生可能
ODレイザーエッジスライサー,CA,1200,下,50,9（10）5,17,90,D,,+2,,,
（フーリガン派生）ODキャノンストライク,CA,800,上,13,着地まで,12,,+4,,±0,,,
ODリバースエッジ,CA,1200,中,18,4（14）4,13,,+8,,-2,,,
ODフェイタルレッグスルー,,1000,投げ,10,3,32,44,D,,,,,
スピンドライブスマッシャー,,2000,上,9,3（1）12,38,62,D,,-24,,1F無敵2～11F打撃無敵,
キラービースピン,,2800,上,13,11,35,58,D,,-24,,1F無敵,
エアキラービースピン,,2800,上,13,着地まで,35,,D,,-22,,,
デルタレッドアサルト,,4000,上,9,15,38,61,D,,-33,,1～13F無敵,体力25％以下で性能アップ（ダメージ4500）
