技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,300,上,4,3,7,13,+5,+9,-3,+1,,
立ち中P,必、CA,600,上,5,4,10,18,+6,+10,+1,+5,,
立ち強P,,800,上,13,3,20,35,+2,+6,-4,±0,,
立ち弱K,必、CA,300,上,5,3,10,17,+2,+6,-2,+2,,
立ち中K,必、CA,500,上,7,4,16,26,+4,+8,-2,+2,,
立ち強K,,900,上,14,3,18,34,+4,+8,±0,+4,,
しゃがみ弱P,必、CA,300,上,4,3,7,13,+4,+8,-2,+2,,
しゃがみ中P,必、CA,600,上,6,4,13,22,+4,+8,-2,+2,,
しゃがみ大P,必、CA,900,上,11,3（5）5,18,41,+1,+5,-3,+1,,
しゃがみ弱K,必、CA,200,下,4,2,10,15,±0,+4,-2,+2,,
しゃがみ中K,必、CA,500,下,7,3,19,28,-2,+2,-6,-2,,
しゃがみ大K,,900,下,9,6,19,33,D,D,-7,-3,,
ジャンプ弱P,,300,中,4,10,,,,,,,,
ジャンプ中P,必、CA,600,中,7,4（6）5,,,,,,,,
ジャンプ強P,,800,中,9,6,,,,,,,,
ジャンプ弱K,,300,中,4,8,,,,,,,,
ジャンプ中K,,500,中,6,5,,,,,,,,
垂直ジャンプ強K,,800,中,8,7,,,,,,,,
ジャンプ強K,,800,中,8,5,,,,,,,,
