技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
弱気功拳,,600,上,15,,32,47,-3,,-7,,,
中気功拳,,600,上,12,,33,45,-3,,-7,,,
強気功拳,,600,上,11,,32,43,-2,,-6,,,
OD気功拳,CA,800,上,11,,28,39,+5,,±0,,,
弱百裂脚,CA,800,上,8,2（5）2（5）2,20,43,+3,,-8,,,
中百裂脚,CA,900,上,14,2（4）2（4）2（5）2,22,56,+3,,-8,,,
強百裂脚,CA,1000,上,23,2（3）2（2）2（4）2（6）2,15,62,D,,-3,,,
OD百裂脚,CA,800,上,8,2（4）2（4）2（4）2（4）2,21,54,+3,,-3,,,
OD百裂脚＞KK,,700,上,11,2（5）2（4）2（5）2（13）3,25,73,D,,-13,,,
弱空中百裂脚,,900,上,8,2（4）2（4）2,,,,,,,,
中空中百裂脚,,1000,上,10,2（4）2（4）2（5）2,,,,,,,,
強空中百裂脚,,1100,上,12,2（4）2（3）2（4）2（3）2,,,,,,,,
OD空中百裂脚,,1300,上,6,2（4）2（2）2（3）2（2）2（3）2,,,,,,,,
弱スピニングバードキック,,1000,上,9,2（6）2（6）2,30,56,D,,-18,,,
中スピニングバードキック,,1200,上,16,2（6）2（6）2（7）2（4）2,29,77,D,,-17,,,
強スピニングバードキック,,1400,上,21,2（4）2（8）2（6）2（5）2（5）2（3）2,30,95,D,,-18,,,
ODスピニングバードキック,,800,上,16,2（4）2（4）2（5）2（4）2（5）2（4）2,23,78,D,,-12,,,
弱覇山蹴,CA,1000,中,23,2,21,45,±0,,-9,,5～9F弾無敵,
中覇山蹴,CA,1000,中,27,3,16,45,+2,,-3,,6～21F弾無敵,
強覇山蹴,CA,1200,中,32,3,16,50,+6,,-1,,6～26F弾無敵,
OD覇山蹴,CA,1200,中,26,3,16,44,D,,-5,,6～25F弾無敵,
弱天昇脚,,900,上,5,2（10）2,39,57,D,,-37,,,
中天昇脚,,1000,上,7,2（10）2,43,63,D,,-41,,,
強天昇脚,,1200,上,9,2（8）2（8）2（11）2,38,81,D,,-57,,,
OD天昇脚,,1400,上,6,3（5）3,41,57,D,,-40,,1～7F無敵,
