技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
←or→+中P,必、CA,600,上,7,3,15,24,+2,+6,-3,+1,,
←+強P,必、CA,800,上,8,6,14,27,+5,+9,-1,+3,,
↘+強P,,800,中,21,4,14,38,+1,+5,-2,+2,,
→+強K,,800,上,16,2,26,40,-1,+3,-4,±0,,
↘+強K,,800,中,37,2,13,51,+7,+11,+3,+7,,
空中↓+中K,必、CA,300,上,3,11,,,,,,,,
ジャンプ強P＞強P,,500,中,6,4,,,,,,,,
↓↙←+P,,,,,,,89,,,,,,15F目から各種派生可能
↓↙←+P＞弱P,必、CA,500,上,5,5,16,25,,,,,,
↓↙←+P＞中P,,750,下,11,7,14,31,,,,,,
↓↙←+P＞強P,必、CA,900,中・上,23,2（6）2,19,51,,,,,,
↓↙←+P＞弱K,必、CA,500,下,8,5,13,25,,,,,,
↓↙←+P＞中K,必、CA,800,下,10,5,22,36,,,,,,
↓↙←+P＞強K,CA,700,上,8,5,24,36,,,,,,
