技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,300,上,4,3,7,13,+5,+9,-3,+1,,
立ち中P,必、CA,600,上,5,4,10,18,+6,+10,+1,+5,,
立ち強P,,800,上,13,3,20,35,+2,+6,-4,±0,,
立ち弱K,必、CA,300,上,5,3,10,17,+2,+6,-2,+2,,
立ち中K,必、CA,500,上,7,4,16,26,+4,+8,-2,+2,,
立ち強K,,900,上,14,3,18,34,+4,+8,±0,+4,,
しゃがみ弱P,必、CA,300,上,4,3,7,13,+4,+8,-2,+2,,
しゃがみ中P,必、CA,600,上,6,4,13,22,+4,+8,-2,+2,,
しゃがみ大P,必、CA,900,上,11,3（5）5,18,41,+1,+5,-3,+1,,
しゃがみ弱K,必、CA,200,下,4,2,10,15,±0,+4,-2,+2,,
しゃがみ中K,必、CA,500,下,7,3,19,28,-2,+2,-6,-2,,
しゃがみ大K,,900,下,9,6,19,33,D,D,-7,-3,,
ジャンプ弱P,,300,中,4,10,,,,,,,,
ジャンプ中P,必、CA,600,中,7,4（6）5,,,,,,,,
ジャンプ強P,,800,中,9,6,,,,,,,,
ジャンプ弱K,,300,中,4,8,,,,,,,,
ジャンプ中K,,500,中,6,5,,,,,,,,
垂直ジャンプ強K,,800,中,8,7,,,,,,,,
ジャンプ強K,,800,中,8,5,,,,,,,,
←or→+中P,必、CA,600,上,7,3,15,24,+2,+6,-3,+1,,
←+強P,必、CA,800,上,8,6,14,27,+5,+9,-1,+3,,
↘+強P,,800,中,21,4,14,38,+1,+5,-2,+2,,
→+強K,,800,上,16,2,26,40,-1,+3,-4,±0,,
↘+強K,,800,中,37,2,13,51,+7,+11,+3,+7,,
空中↓+中K,必、CA,300,上,3,11,,,,,,,,
ジャンプ強P＞強P,,500,中,6,4,,,,,,,,
↓↙←+P,,,,,,,89,,,,,,15F目から各種派生可能
↓↙←+P＞弱P,必、CA,500,上,5,5,16,25,,,,,,
↓↙←+P＞中P,,750,下,11,7,14,31,,,,,,
↓↙←+P＞強P,必、CA,900,中・上,23,2（6）2,19,51,,,,,,
↓↙←+P＞弱K,必、CA,500,下,8,5,13,25,,,,,,
↓↙←+P＞中K,必、CA,800,下,10,5,22,36,,,,,,
↓↙←+P＞強K,CA,700,上,8,5,24,36,,,,,,
弱気功拳,,600,上,15,,32,47,-3,,-7,,,
中気功拳,,600,上,12,,33,45,-3,,-7,,,
強気功拳,,600,上,11,,32,43,-2,,-6,,,
OD気功拳,CA,800,上,11,,28,39,+5,,±0,,,
弱百裂脚,CA,800,上,8,2（5）2（5）2,20,43,+3,,-8,,,
中百裂脚,CA,900,上,14,2（4）2（4）2（5）2,22,56,+3,,-8,,,
強百裂脚,CA,1000,上,23,2（3）2（2）2（4）2（6）2,15,62,D,,-3,,,
OD百裂脚,CA,800,上,8,2（4）2（4）2（4）2（4）2,21,54,+3,,-3,,,
OD百裂脚＞KK,,700,上,11,2（5）2（4）2（5）2（13）3,25,73,D,,-13,,,
弱空中百裂脚,,900,上,8,2（4）2（4）2,,,,,,,,
中空中百裂脚,,1000,上,10,2（4）2（4）2（5）2,,,,,,,,
強空中百裂脚,,1100,上,12,2（4）2（3）2（4）2（3）2,,,,,,,,
OD空中百裂脚,,1300,上,6,2（4）2（2）2（3）2（2）2（3）2,,,,,,,,
弱スピニングバードキック,,1000,上,9,2（6）2（6）2,30,56,D,,-18,,,
中スピニングバードキック,,1200,上,16,2（6）2（6）2（7）2（4）2,29,77,D,,-17,,,
強スピニングバードキック,,1400,上,21,2（4）2（8）2（6）2（5）2（5）2（3）2,30,95,D,,-18,,,
ODスピニングバードキック,,800,上,16,2（4）2（4）2（5）2（4）2（5）2（4）2,23,78,D,,-12,,,
弱覇山蹴,CA,1000,中,23,2,21,45,±0,,-9,,5～9F弾無敵,
中覇山蹴,CA,1000,中,27,3,16,45,+2,,-3,,6～21F弾無敵,
強覇山蹴,CA,1200,中,32,3,16,50,+6,,-1,,6～26F弾無敵,
OD覇山蹴,CA,1200,中,26,3,16,44,D,,-5,,6～25F弾無敵,
弱天昇脚,,900,上,5,2（10）2,39,57,D,,-37,,,
中天昇脚,,1000,上,7,2（10）2,43,63,D,,-41,,,
強天昇脚,,1200,上,9,2（8）2（8）2（11）2,38,81,D,,-57,,,
OD天昇脚,,1400,上,6,3（5）3,41,57,D,,-40,,1～7F無敵,
気功掌,,1700,上,7,70,46,122,D,,-22,,1F無敵2～7F打撃無敵,
空中気功掌,,1800,上,7,50,,,D,,,,1F無敵,
鳳翼扇,,2000,上,11,2（1）2（1）2（1）2（2）2（1）2（1）2（1）2（11）2（2）2（2）2（2）2（2）2（2）2（1）2（23）3,48,144,D,,-35,,1～12F無敵,
蒼天乱華,,4000,上,8,2（24）1（7）1,40,82,D,,-24,,1～9F無敵,体力25％以下で性能アップ（ダメージ4500）
