技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,300,上,4,3,6,12,+4,+8,-1,+3,,
立ち中P,,600,上,7,3,13,22,+5,+9,+2,+6,,
立ち強P,必、CA,800,上,9,6,18,32,+3,+7,-4,±0,,
立ち弱K,必、CA,300,上,5,2,12,18,+2,+6,-2,+2,,
立ち中K,,600,上,9,3,16,27,+6,+10,-1,+3,,
立ち強K,,800,上,12,3,22,36,+1,+5,-5,-1,,
しゃがみ弱P,必、CA,300,上,5,3,8,15,+4,+8,-1,+3,,
しゃがみ中P,必、CA,600,上,6,4,14,23,+4,+8,-1,+3,,
しゃがみ大P,必、CA,800,上,8,2,20,29,+6,+10,-2,+2,,
しゃがみ弱K,,200,下,5,2,10,16,+2,+6,-2,+2,,
しゃがみ中K,,700,下,8,4,19,30,D,D,-6,-2,,
しゃがみ大K,,900,下,14,10,15,38,D,D,-11,-7,,
ジャンプ弱P,,300,中,4,7,,,,,,,,
ジャンプ中P,,700,中,6,4,,,,,,,,
ジャンプ強P,,800,中,9,6,,,,,,,,
ジャンプ弱K,,300,中,4,6,,,,,,,,
ジャンプ中K,,500,中,8,6,,,,,,,,
ジャンプ強K,,800,中,10,5,,,,,,,,
前ジャンプ↓+弱K,,300,中,6,着地まで,,,,,,,,
