技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
弱エアスラッシャー,,,,,,,21,,,,,,
中エアスラッシャー,CA,600,上,17,,27,44,±0,,-5,,,
強エアスラッシャー,CA,1000,上,17,,43,60,+3,,-3,,,
ODエアスラッシャー,CA,1000,上,10,,36,46,+5,,+2,,,
弱ジャックナイフマキシマム,,,,,,,51,,,,,,23F目から通常技にキャンセル可能
中ジャックナイフマキシマム,,1100,上,6,3（10）4,32,54,D,,-32,,,
強ジャックナイフマキシマム,,1300,上,6,4（8）5（8）4,32,66,D,,-44,,,
ODジャックナイフマキシマム,,1500,上,6,6（7）3（9）3,44,77,D,,-55,,1～11F無敵,
フェイクロールステップ,,,,,,,26,,,,,,
クイックローリングソバット,CA,1000,上,12,3,23,37,D,,-6,,,
ダブルローリングソバット,CA,1400,上,15,3（18）4,24,63,+2,,-10,,,
弱マシンガンアッパー,CA,1650,上,15,4,35,53,D,,-19,,,
中マシンガンアッパー,CA,1900,上,22,4,35,60,D,,-19,,,
強マシンガンアッパー,CA,2200,上,28,4,35,66,D,,-19,,,
ODマシンガンアッパー,CA,2500,上,28,4,35,66,D,,-19,,,
ジョスクール,,,,,,,37,,,,,,13F目から各種派生にキャンセル可能
ファンキースライサー,CA,800,下,12,3,22,36,+2,,-3,,,
ワニングムーン,,1000,中,25,3,16,43,D,,+1,,,
マキシマムストライク,CA,1000,上,15,5,25,44,D,,-10,,,
ジャグリングステップ,,,,,,,27,,,,,1～20F弾無敵,
ジャグリングスウェイ,,,,,,,29,,,,,,
ODジョスクール,,500,上,8,5,36,48,D,,-22,,,
ODファンキースライサー,CA,900,下,9,3,19,30,+6,,-2,,,
ODワニングムーン,,1100,中,19,5,17,40,+7,,-2,,,
ODマキシマムストライク,CA,1000,上,11,5,21,36,D,,-8,,,
ODジャグリングステップ,,,,,,5,22,,,,,1～17F弾無敵,
ODジャグリングスウェイ,,,,,,,22,,,,,,
