技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,300,上,4,3,6,12,+4,+8,-1,+3,,
立ち中P,,600,上,7,3,13,22,+5,+9,+2,+6,,
立ち強P,必、CA,800,上,9,6,18,32,+3,+7,-4,±0,,
立ち弱K,必、CA,300,上,5,2,12,18,+2,+6,-2,+2,,
立ち中K,,600,上,9,3,16,27,+6,+10,-1,+3,,
立ち強K,,800,上,12,3,22,36,+1,+5,-5,-1,,
しゃがみ弱P,必、CA,300,上,5,3,8,15,+4,+8,-1,+3,,
しゃがみ中P,必、CA,600,上,6,4,14,23,+4,+8,-1,+3,,
しゃがみ大P,必、CA,800,上,8,2,20,29,+6,+10,-2,+2,,
しゃがみ弱K,,200,下,5,2,10,16,+2,+6,-2,+2,,
しゃがみ中K,,700,下,8,4,19,30,D,D,-6,-2,,
しゃがみ大K,,900,下,14,10,15,38,D,D,-11,-7,,
ジャンプ弱P,,300,中,4,7,,,,,,,,
ジャンプ中P,,700,中,6,4,,,,,,,,
ジャンプ強P,,800,中,9,6,,,,,,,,
ジャンプ弱K,,300,中,4,6,,,,,,,,
ジャンプ中K,,500,中,8,6,,,,,,,,
ジャンプ強K,,800,中,10,5,,,,,,,,
前ジャンプ↓+弱K,,300,中,6,着地まで,,,,,,,,
→+中K,CA,700,上,19,5,16,39,+5,+9,+1,+5,,
←+強K,必、CA,800,上,7,6,20,32,+1,+5,-5,-1,,
立ち弱P＞中K,,400,上,9,3,18,29,+2,,-3,,,
立ち弱P＞中K＞中K,,625,上,14,3,21,37,+2,,-8,,,
立ち中P＞強P,,500,上,11,7,24,41,-2,,-11,,,
立ち中P＞強P＞強K,CA,600,上,13,3,30,45,D,,-13,,,
立ち中P＞中P,,500,上,12,2,17,30,+2,,-2,,,
立ち中P＞中P＞強P,,900,上,20,2,24,45,D,,-8,,,
立ち中P＞中P＞←+強P,,,,,,,23,-4,,-6,,,
ジャンプ中P＞強P,,700,中,8,7,,,,,,,,
↓↓+PP,,,,,,,133,,,,,,
弱エアスラッシャー,,,,,,,21,,,,,,
中エアスラッシャー,CA,600,上,17,,27,44,±0,,-5,,,
強エアスラッシャー,CA,1000,上,17,,43,60,+3,,-3,,,
ODエアスラッシャー,CA,1000,上,10,,36,46,+5,,+2,,,
弱ジャックナイフマキシマム,,,,,,,51,,,,,,23F目から通常技にキャンセル可能
中ジャックナイフマキシマム,,1100,上,6,3（10）4,32,54,D,,-32,,,
強ジャックナイフマキシマム,,1300,上,6,4（8）5（8）4,32,66,D,,-44,,,
ODジャックナイフマキシマム,,1500,上,6,6（7）3（9）3,44,77,D,,-55,,1～11F無敵,
フェイクロールステップ,,,,,,,26,,,,,,
クイックローリングソバット,CA,1000,上,12,3,23,37,D,,-6,,,
ダブルローリングソバット,CA,1400,上,15,3（18）4,24,63,+2,,-10,,,
弱マシンガンアッパー,CA,1650,上,15,4,35,53,D,,-19,,,
中マシンガンアッパー,CA,1900,上,22,4,35,60,D,,-19,,,
強マシンガンアッパー,CA,2200,上,28,4,35,66,D,,-19,,,
ODマシンガンアッパー,CA,2500,上,28,4,35,66,D,,-19,,,
ジョスクール,,,,,,,37,,,,,,13F目から各種派生にキャンセル可能
ファンキースライサー,CA,800,下,12,3,22,36,+2,,-3,,,
ワニングムーン,,1000,中,25,3,16,43,D,,+1,,,
マキシマムストライク,CA,1000,上,15,5,25,44,D,,-10,,,
ジャグリングステップ,,,,,,,27,,,,,1～20F弾無敵,
ジャグリングスウェイ,,,,,,,29,,,,,,
ODジョスクール,,500,上,8,5,36,48,D,,-22,,,
ODファンキースライサー,CA,900,下,9,3,19,30,+6,,-2,,,
ODワニングムーン,,1100,中,19,5,17,40,+7,,-2,,,
ODマキシマムストライク,CA,1000,上,11,5,21,36,D,,-8,,,
ODジャグリングステップ,,,,,,5,22,,,,,1～17F弾無敵,
ODジャグリングスウェイ,,,,,,,22,,,,,,
グレイテストソバット,,1800,上,7,4,45,55,D,,-24,,1F無敵,
サンライズフェスティバル・ライト,,1200,上,12,5,46,62,D,,-29,,1～16F無敵,
サンライズフェスティバル・マーベラス,,1300（1700）,上,12,5,46,62,D,,-29,,1～16F無敵,
サンライズフェスティバル・マキシマム,,1300（1800）,上,12,5,46,62,D,,-29,,1～16F無敵,
クライマックスブロー,,2800（3000）,,,,,,D,,,,,
アンコールビート,,2800（3000）,,,,,,D,,,,,
サタデーナイト,,4000,上,9,5,48,61,D,,-28,,1～13F無敵,体力25％以下で性能アップ（ダメージ4500）
