技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,300,上,4,3,8,14,+4,+8,-1,+3,,
立ち中P,,700,上,14,3,19,35,-2,+2,-5,-1,,
立ち強P,,1000,上,16,4,27,46,-6,-2,-11,-7,,
立ち弱K,必、CA,300,上,9,4,11,23,+2,+6,-6,-2,,
立ち中K,,600,上,12,3,18,32,-2,+2,-6,-2,,
立ち強K,必、CA,800,上,17,3,20,39,+1,+5,-6,-2,,
しゃがみ弱P,必、CA,300,上,5,3,9,16,+4,+8,-1,+3,,
しゃがみ中P,必、CA,600,上,12,3,16,30,±0,+4,-4,±0,,
しゃがみ大P,,800,上,19,4,24,46,-1,+3,-12,-8,,
しゃがみ弱K,,200,下,4,7,16,26,-5,-1,-10,-6,,
しゃがみ中K,,500,下,10,13,14,36,-3,+1,-10,-6,,
しゃがみ大K,,900,下,12,16,20,47,D,D,-16,-12,,
ジャンプ弱P,,300,中,4,4,,,,,,,,
ジャンプ中P,必,700,中,9,6,,,,,,,,
ジャンプ強P,,800,中,13,4,,,,,,,,
ジャンプ弱K,,300,中,6,4,,,,,,,,
ジャンプ中K,,500,中,11,6,,,,,,,,
ジャンプ強K,,800,中,10,10,,,,,,,,先端は上段判定
