技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
ヨガファイア,CA,600,上,15,,33,48,-2,,-6,,,
ヨガファイア（ホールド）,CA,800,上,45,,32,77,D,,-3,,,
ODヨガファイア,CA,1000,上,13,,32,45,D,,-3,,,
ヨガアーチ,,600,上,18,,27,45,+1,,-1,,,
ODヨガアーチ,,1000,上,18,,27,45,+1,,-3,,,
弱ヨガフレイム,CA,800,上,16,15,15,45,D,,-4,,,
中ヨガフレイム,CA,900,上,20,15,17,51,D,,-4,,,
強ヨガフレイム,CA,1200,上,26,17,16,58,D,,-4,,,
ODヨガフレイム,CA,800,上,18,25,24,66,D,,-11,,,
弱ヨガブラスト,CA,1000,上,12,10,23,44,D,,-6,,,
中ヨガブラスト,CA,1200,上,15,10,20,44,D,,-3,,,
強ヨガブラスト,CA,1200,上,15,10,20,44,D,,-3,,,
ODヨガブラスト,CA,1000,上,12,10,20,41,D,,±0,,,
ヨガコメット,,800,上,30,,,,,,,,,
ODヨガコメット,,1200,上,30,,,,,,,,,
ヨガフロート,,,,,,,144,,,,,,37F目から空中で行動可能
空中ヨガフロート,,,,,,,,,,,,,16F目から空中で行動可能
前ヨガテレポート,,,,,,,39,,,,,5F～15F無敵,
後ろヨガテレポート,,,,,,,46,,,,,5F～15F無敵,
空中前ヨガテレポート,,,,,,,,,,,,10F～15F無敵,31F目から空中で行動可能
空中後ろヨガテレポート,,,,,,,,,,,,10F～15F無敵,35F目から空中で行動可能
弱ヨガインフェルノ,,1920,上,10,104,20,133,D,,-15,,,
中ヨガインフェルノ,,2100,上,10,104,20,133,D,,-15,,,
強ヨガインフェルノ,,2040,上,10,84,40,133,D,,-22,,,
