技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,300,上,4,3,8,14,+4,+8,-1,+3,,
立ち中P,,700,上,14,3,19,35,-2,+2,-5,-1,,
立ち強P,,1000,上,16,4,27,46,-6,-2,-11,-7,,
立ち弱K,必、CA,300,上,9,4,11,23,+2,+6,-6,-2,,
立ち中K,,600,上,12,3,18,32,-2,+2,-6,-2,,
立ち強K,必、CA,800,上,17,3,20,39,+1,+5,-6,-2,,
しゃがみ弱P,必、CA,300,上,5,3,9,16,+4,+8,-1,+3,,
しゃがみ中P,必、CA,600,上,12,3,16,30,±0,+4,-4,±0,,
しゃがみ大P,,800,上,19,4,24,46,-1,+3,-12,-8,,
しゃがみ弱K,,200,下,4,7,16,26,-5,-1,-10,-6,,
しゃがみ中K,,500,下,10,13,14,36,-3,+1,-10,-6,,
しゃがみ大K,,900,下,12,16,20,47,D,D,-16,-12,,
ジャンプ弱P,,300,中,4,4,,,,,,,,
ジャンプ中P,必,700,中,9,6,,,,,,,,
ジャンプ強P,,800,中,13,4,,,,,,,,
ジャンプ弱K,,300,中,6,4,,,,,,,,
ジャンプ中K,,500,中,11,6,,,,,,,,
ジャンプ強K,,800,中,10,10,,,,,,,,先端は上段判定
←+中P,必、CA,700,上,8,9,16,29,+2,+6,-3,+1,,
←+強P,必、CA,900,上,14,7,29,49,-9,-5,-16,-12,,
↙+強P,必、CA,800,上,10,4,20,33,+3,+7,-3,+1,,
↙+弱K,,200,下,5,3,10,17,+1,+5,-5,-1,,
←+中K,必、CA,600,上,7,4,17,27,+3,+7,±0,+4,,
↙+中K,必、CA,500,下,8,3,20,30,-3,+1,-7,-3,,
←+強K,,1000,上,14,6,20,39,±0,+4,-9,-5,,
↙+強K,,900,下,9,3,22,33,D,D,-7,-4,,
空中↓+弱P,必,500,上,10,着地まで,9,,,,,,,
空中↓+K,,500,上,9,着地まで,6,,,,,,,
ヨガファイア,CA,600,上,15,,33,48,-2,,-6,,,
ヨガファイア（ホールド）,CA,800,上,45,,32,77,D,,-3,,,
ODヨガファイア,CA,1000,上,13,,32,45,D,,-3,,,
ヨガアーチ,,600,上,18,,27,45,+1,,-1,,,
ODヨガアーチ,,1000,上,18,,27,45,+1,,-3,,,
弱ヨガフレイム,CA,800,上,16,15,15,45,D,,-4,,,
中ヨガフレイム,CA,900,上,20,15,17,51,D,,-4,,,
強ヨガフレイム,CA,1200,上,26,17,16,58,D,,-4,,,
ODヨガフレイム,CA,800,上,18,25,24,66,D,,-11,,,
弱ヨガブラスト,CA,1000,上,12,10,23,44,D,,-6,,,
中ヨガブラスト,CA,1200,上,15,10,20,44,D,,-3,,,
強ヨガブラスト,CA,1200,上,15,10,20,44,D,,-3,,,
ODヨガブラスト,CA,1000,上,12,10,20,41,D,,±0,,,
ヨガコメット,,800,上,30,,,,,,,,,
ODヨガコメット,,1200,上,30,,,,,,,,,
ヨガフロート,,,,,,,144,,,,,,37F目から空中で行動可能
空中ヨガフロート,,,,,,,,,,,,,16F目から空中で行動可能
前ヨガテレポート,,,,,,,39,,,,,5F～15F無敵,
後ろヨガテレポート,,,,,,,46,,,,,5F～15F無敵,
空中前ヨガテレポート,,,,,,,,,,,,10F～15F無敵,31F目から空中で行動可能
空中後ろヨガテレポート,,,,,,,,,,,,10F～15F無敵,35F目から空中で行動可能
弱ヨガインフェルノ,,1920,上,10,104,20,133,D,,-15,,,
中ヨガインフェルノ,,2100,上,10,104,20,133,D,,-15,,,
強ヨガインフェルノ,,2040,上,10,84,40,133,D,,-22,,,
ヨガサンバースト,,2800,上,7,,60,67,,,,,1～9F無敵,
ヨガマーシレス,,4000,上,10,7,75,89,D,,-62,,1～14F無敵,体力25％以下で性能アップ（ダメージ4500）
