技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,300,上,5,3,10,17,4,8,-1,3,,
立ち中P,必、CA,700,上,10,4,13,26,4,8,1,5,,
立ち強P,必、CA,900,上,8,7,20,34,±0,4,-5,-1,,
立ち弱K,必、CA,300,上,4,2,9,14,5,9,-1,3,,
立ち中K,,700,上,10,4,16,29,4,8,-3,1,,
立ち強K,必、CA,800,上,8,2（1）4,22,36,-1,3,-5,-1,,
しゃがみ弱P,必、CA,300,上,4,3,10,16,4,8,-1,3,,
しゃがみ中P,必、CA,600,上,8,4,16,27,3,7,-3,1,,
しゃがみ大P,,800,上,11,4,19,33,3,7,-3,1,,
しゃがみ弱K,,200,下,5,2,9,15,3,7,-3,1,,
しゃがみ中K,,500,下,9,3,17,28,5,9,-2,2,,
しゃがみ大K,,900,下,11,3（6）5,14,38,D,D,-10,-6,,
ジャンプ弱P,,300,中,5,6,,,,,,,,
ジャンプ中P,,700,中,6,8,,,,,,,,
垂直ジャンプ強P,,800,中,10,8,,,,,,,,
ジャンプ強P,,800,中,9,8,,,,,,,,
ジャンプ弱K,,300,中,6,6,,,,,,,,
ジャンプ中K,,700,中,9,6,,,,,,,,
ジャンプ強K,,800,中,10,8,,,,,,,,
