技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
弱百裂張り手,CA,800,上,12,2(4)2(2)1(2)2(1)1(1)2,14,45,2,,-4,,,
中百裂張り手,CA,1000,上,18,2（4）2（1）1（3）1（2）1（4）1（1）2,17,66,2,,-8,,,
強百裂張り手,CA,1200,上,21,2（4）2（3）1（3）1（3）1（3）1（3）1（3）1（1）1（1）2,17,81,2,,-8,,,
OD百裂張り手,CA,800,上,19,4（6）2（3）2（3）2（4）2（1）2（1）1（1）2,12,73,4,,-3,,,
弱百裂張り手（肩屋入り）,CA,850,上,12,2（4）2（2）1（1）2（1）1（10）2,14,45,4,,-4,,,
中百裂張り手（肩屋入り）,CA,1050,上,18,2（4）2（1）1（3）1（2）1（4）1（1）1（14）2,17,66,4,,-8,,,
強百裂張り手（肩屋入り）,CA,1250,上,21,2（4）2（3）1（3）1（3）1（3）1（3）1（3）1（1）1（1）1（14）2,17,81,4,,-8,,,
OD百裂張り手（肩屋入り）,CA,850,上,19,4（6）2（3）2（3）2（4）2（1）2（1）1（1）1（10）2,12,73,6,,-3,,,
弱スーパー頭突き,CA,1300,上,10,22,20,51,D,,-4,,,
中スーパー頭突き,CA,1300,上,10,24,20,53,D,,-4,,,
強スーパー頭突き,CA,1400,上,14,端到達まで,22,,D,,-4,,,
ODスーパー頭突き,CA,1600,上,9,端到達まで,37,,D,,-20,,,
弱スーパー百貫落とし,,1400,上・中,11,4（26）8,17,65,D,,1,,,
中スーパー百貫落とし,,1400,上・中,11,4（24）7,17,62,D,,1,,,
強スーパー百貫落とし,,1400,上・中,11,4（22）6,17,59,D,,1,,,
ODスーパー百貫落とし,,1400,上・中,6,12（13）9,17,56,D,,1,,,
弱大銀杏投げ,,2000,投げ,7,3,52,61,D,,,,,
中大銀杏投げ,,2200,投げ,7,3,52,61,D,,,,,
強大銀杏投げ,,2400,投げ,7,3,52,61,D,,,,,
OD大銀杏投げ,,2800,投げ,7,3,61,61,D,,,,,
相撲ステップ,,,,,,,51,,,,,,14F目から各種派生にキャンセル可能
相撲ステップ＞鉄砲,CA,800,上,9,3（13）3,22,49,D,,-3,,,
相撲ステップ＞鉄砲＞P,,600,上,14,4,38,54,D,,-24,,,
相撲ステップ＞大砲,CA,800,上,12,2（17）3,32,65,D,,-22,,,
OD相撲ステップ,,,,,,,34,,,,,,13F目から各種派生にキャンセル可能
OD相撲ステップ＞鉄砲,CA,800,上,9,3（13）3,17,44,D,,2,,,
OD相撲ステップ＞鉄砲＞P,,800,上,14,4,38,54,D,,-24,,,
OD相撲ステップ＞大砲,CA,1000,上,12,2（17）3,32,65,D,,-22,,,
猫だまし,CA,600,上,11,5,14,29,3,,-3,,,
肩屋入り,,,,,,,52,,,,,,
