技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,300,上,5,3,10,17,+4,+8,-1,+3,,
立ち中P,必、CA,700,上,10,4,13,26,+4,+8,+1,+5,,
立ち強P,必、CA,900,上,8,7,20,34,±0,+4,-5,-1,,
立ち弱K,必、CA,300,上,4,2,9,14,+5,+9,-1,+3,,
立ち中K,,700,上,10,4,16,29,+4,+8,-3,+1,,
立ち強K,必、CA,800,上,8,2（1）4,22,36,-1,+3,-5,-1,,
しゃがみ弱P,必、CA,300,上,4,3,10,16,+4,+8,-1,+3,,
しゃがみ中P,必、CA,600,上,8,4,16,27,+3,+7,-3,+1,,
しゃがみ大P,,800,上,11,4,19,33,+3,+7,-3,+1,,
しゃがみ弱K,,200,下,5,2,9,15,+3,+7,-3,+1,,
しゃがみ中K,,500,下,9,3,17,28,+5,+9,-2,+2,,
しゃがみ大K,,900,下,11,3（6）5,14,38,D,D,-10,-6,,
ジャンプ弱P,,300,中,5,6,,,,,,,,
ジャンプ中P,,700,中,6,8,,,,,,,,
垂直ジャンプ強P,,800,中,10,8,,,,,,,,
ジャンプ強P,,800,中,9,8,,,,,,,,
ジャンプ弱K,,300,中,6,6,,,,,,,,
ジャンプ中K,,700,中,9,6,,,,,,,,
ジャンプ強K,,800,中,10,8,,,,,,,,
→+強K,,900,下,14,3,21,37,+1,+5,-5,-1,,
↘+強K,必、CA,800,中,22,6,18,45,+3,+7,-3,+1,,15F目をキャンセル可能
前ジャンプ↓+中K,,500,中,11,9,,,,,,,,
立ち弱P＞中P,必、CA,600,上,4,4,20,27,D,,-10,,,
立ち中P＞↘+強K,必、CA,800,中,22,10,18,45,+3,,-3,,,15F目をキャンセル可能
弱百裂張り手,CA,800,上,12,2(4)2(2)1(2)2(1)1(1)2,14,45,+2,,-4,,,
中百裂張り手,CA,1000,上,18,2（4）2（1）1（3）1（2）1（4）1（1）2,17,66,+2,,-8,,,
強百裂張り手,CA,1200,上,21,2（4）2（3）1（3）1（3）1（3）1（3）1（3）1（1）1（1）2,17,81,+2,,-8,,,
OD百裂張り手,CA,800,上,19,4（6）2（3）2（3）2（4）2（1）2（1）1（1）2,12,73,+4,,-3,,,
弱百裂張り手（肩屋入り）,CA,850,上,12,2（4）2（2）1（1）2（1）1（10）2,14,45,+4,,-4,,,
中百裂張り手（肩屋入り）,CA,1050,上,18,2（4）2（1）1（3）1（2）1（4）1（1）1（14）2,17,66,+4,,-8,,,
強百裂張り手（肩屋入り）,CA,1250,上,21,2（4）2（3）1（3）1（3）1（3）1（3）1（3）1（1）1（1）1（14）2,17,81,+4,,-8,,,
OD百裂張り手（肩屋入り）,CA,850,上,19,4（6）2（3）2（3）2（4）2（1）2（1）1（1）1（10）2,12,73,+6,,-3,,,
弱スーパー頭突き,CA,1300,上,10,22,20,51,D,,-4,,,
中スーパー頭突き,CA,1300,上,10,24,20,53,D,,-4,,,
強スーパー頭突き,CA,1400,上,14,端到達まで,22,,D,,-4,,,
ODスーパー頭突き,CA,1600,上,9,端到達まで,37,,D,,-20,,,
弱スーパー百貫落とし,,1400,上・中,11,4（26）8,17,65,D,,+1,,,
中スーパー百貫落とし,,1400,上・中,11,4（24）7,17,62,D,,+1,,,
強スーパー百貫落とし,,1400,上・中,11,4（22）6,17,59,D,,+1,,,
ODスーパー百貫落とし,,1400,上・中,6,12（13）9,17,56,D,,+1,,,
弱大銀杏投げ,,2000,投げ,7,3,52,61,D,,,,,
中大銀杏投げ,,2200,投げ,7,3,52,61,D,,,,,
強大銀杏投げ,,2400,投げ,7,3,52,61,D,,,,,
OD大銀杏投げ,,2800,投げ,7,3,61,61,D,,,,,
相撲ステップ,,,,,,,51,,,,,,14F目から各種派生にキャンセル可能
相撲ステップ＞鉄砲,CA,800,上,9,3（13）3,22,49,D,,-3,,,
相撲ステップ＞鉄砲＞P,,600,上,14,4,38,54,D,,-24,,,
相撲ステップ＞大砲,CA,800,上,12,2（17）3,32,65,D,,-22,,,
OD相撲ステップ,,,,,,,34,,,,,,13F目から各種派生にキャンセル可能
OD相撲ステップ＞鉄砲,CA,800,上,9,3（13）3,17,44,D,,+2,,,
OD相撲ステップ＞鉄砲＞P,,800,上,14,4,38,54,D,,-24,,,
OD相撲ステップ＞大砲,CA,1000,上,12,2（17）3,32,65,D,,-22,,,
猫だまし,CA,600,上,11,5,14,29,+3,,-3,,,
肩屋入り,,,,,,,52,,,,,,
発揮爆砕,,2000,上,7,5,48,59,D,,-33,,1F無敵2～11F打撃無敵,
スーパー鬼無双,,2850,上,12,端到達まで,45,,D,,-27,,1～18F無敵,
千秋楽,,4000,上,9,3（8）3,51,73,D,,-34,,1～11F無敵,体力25％以下で性能アップ（ダメージ4500）
