技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,300,上,5,3,7,14,4,8,-2,2,,
立ち中P,必、CA,600,上,7,3,15,24,6,10,±0,4,,
立ち強P,必、CA,900,上,7,3,23,32,-1,3,-6,-2,,
立ち弱K,必、CA,300,上,5,2,12,18,3,7,-1,3,,
立ち中K,,700,上,7,5,18,29,1,5,-4,±0,,
立ち強K,CA,800,上,13,3,21,36,3,7,-4,±0,,
しゃがみ弱P,必、CA,300,上,4,3,8,14,5,9,-2,2,,
しゃがみ中P,必、CA,600,上,6,3,13,21,4,8,-2,2,,
しゃがみ大P,,900,上,9,5,20,33,±0,4,-9,-5,,
しゃがみ弱K,,200,下,5,2,13,19,1,5,-5,-1,,
しゃがみ中K,,500,下,8,3,18,28,4,8,-5,-1,,
しゃがみ大K,,900,下,9,2（16）3,21,50,D,D,-12,-8,,
ジャンプ弱P,,300,中,4,10,,,,,,,,
ジャンプ中P,,700,中,7,3,,,,,,,,
ジャンプ強P,,800,中,9,4,,,,,,,,
ジャンプ弱K,,300,中,6,10,,,,,,,,
ジャンプ中K,,500,中,7,7,,,,,,,,
ジャンプ強K,,800,中,10,5,,,,,,,,
