技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
弱ソニックムーブ,CA,550,上,10,,30,40,3,,-3,,,
弱ソニックムーブ（ジャスト）,CA,600,上,10,,30,40,4,,-3,,,
中ソニックムーブ,CA,550,上,10,,30,40,3,,-3,,,
弱ソニックムーブ（ジャスト）,CA,600,上,10,,30,40,4,,-3,,,
弱ソニックムーブ,CA,550,上,10,,30,40,3,,-3,,,
弱ソニックムーブ（ジャスト）,CA,600,上,10,,30,40,4,,-3,,,
ODソニックムーブ,CA,1000,上,10,,28,38,D,,3,,,
弱サマーソルトキック,CA,1000,上,5,6,41,51,D,,-30,,,
弱サマーソルトキック（ジャスト）,CA,1200,上,5,6,41,51,D,,-30,,,
中サマーソルトキック,CA,1100,上,6,6,42,53,D,,-31,,,
中サマーソルトキック（ジャスト）,CA,1300,上,6,6,42,53,D,,-31,,,
強サマーソルトキック,CA,1200,上,7,6,43,55,D,,-32,,,
弱サマーソルトキック（ジャスト）,CA,1400,上,7,6,43,55,D,,-32,,,
ODサマーソルトキック,,1600,上,6,6,46,57,D,,-33,,1～13F無敵,
弱ソニックブレイド,CA,400,上,16,,26,42,-3,,-4,,,
中ソニックブレイド,CA,400,上,21,,29,50,-6,,-7,,,
強ソニックブレイド,CA,500,上,31,,24,54,1,,-1,,,
ODソニックブレイド,CA,300,上,15,,24,39,D,,-4,,,
ソニックブレイド＞ソニッククロス,,1000,上,10,,28,38,D,,-1,,,
ソニックブレイド＞ODソニッククロス,,1300,上,10,,28,38,D,,1,,,
ODソニックブレイド＞ソニッククロス,,1300,上,10,,28,38,D,,,,,
ODソニックブレイド＞ODソニッククロス,,1700,上,10,,28,38,D,,,,,
ソニックブレイク,,600,上,11,,26,36,2,,-2,,,
ソニックブレイク（派生）,,600,上,11,,26,36,2,,-2,,,
