技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
→+中P,,800,中,20,3,19,41,2,6,-3,1,,
←+強P,必、CA,800,上,9,3,21,32,1,5,-4,±0,,
→+強P,,800,上,16,3,20,38,5,9,3,7,,しゃがみに当たらない
←+弱K,,500,上,8,5,15,27,±0,4,-4,±0,,
←or→+中K,,700,上,11,3,18,31,3,7,-6,-2,,
→+強K,,1000,上,17,3,26,45,-1,3,-8,-4,,
↘+強K,必、CA,1000,上,10,3,23,35,±0,4,-9,-5,,しゃがみに当たらない
中P＞←+強P,必、CA,600,上,16,3,26,44,D,,-9,,,
↓中P＞↓中P,必、CA,400,上,12,3,16,30,D,,-6,,,
↓中K＞→中P,,800,中,20,3,21,43,1,,-5,,,
↓強K＞↘強K,必、CA,600,上,10,3,25,37,D,,-10,,,しゃがみに当たらない
