技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,300,上,5,3,7,14,+4,+8,-2,+2,,
立ち中P,必、CA,600,上,7,3,15,24,+6,+10,±0,+4,,
立ち強P,必、CA,900,上,7,3,23,32,-1,+3,-6,-2,,
立ち弱K,必、CA,300,上,5,2,12,18,+3,+7,-1,+3,,
立ち中K,,700,上,7,5,18,29,+1,+5,-4,±0,,
立ち強K,CA,800,上,13,3,21,36,+3,+7,-4,±0,,
しゃがみ弱P,必、CA,300,上,4,3,8,14,+5,+9,-2,+2,,
しゃがみ中P,必、CA,600,上,6,3,13,21,+4,+8,-2,+2,,
しゃがみ大P,,900,上,9,5,20,33,±0,+4,-9,-5,,
しゃがみ弱K,,200,下,5,2,13,19,+1,+5,-5,-1,,
しゃがみ中K,,500,下,8,3,18,28,+4,+8,-5,-1,,
しゃがみ大K,,900,下,9,2（16）3,21,50,D,D,-12,-8,,
ジャンプ弱P,,300,中,4,10,,,,,,,,
ジャンプ中P,,700,中,7,3,,,,,,,,
ジャンプ強P,,800,中,9,4,,,,,,,,
ジャンプ弱K,,300,中,6,10,,,,,,,,
ジャンプ中K,,500,中,7,7,,,,,,,,
ジャンプ強K,,800,中,10,5,,,,,,,,
→+中P,,800,中,20,3,19,41,+2,+6,-3,+1,,
←+強P,必、CA,800,上,9,3,21,32,+1,+5,-4,±0,,
→+強P,,800,上,16,3,20,38,+5,+9,+3,+7,,しゃがみに当たらない
←+弱K,,500,上,8,5,15,27,±0,+4,-4,±0,,
←or→+中K,,700,上,11,3,18,31,+3,+7,-6,-2,,
→+強K,,1000,上,17,3,26,45,-1,+3,-8,-4,,
↘+強K,必、CA,1000,上,10,3,23,35,±0,+4,-9,-5,,しゃがみに当たらない
中P＞←+強P,必、CA,600,上,16,3,26,44,D,,-9,,,
↓中P＞↓中P,必、CA,400,上,12,3,16,30,D,,-6,,,
↓中K＞→中P,,800,中,20,3,21,43,+1,,-5,,,
↓強K＞↘強K,必、CA,600,上,10,3,25,37,D,,-10,,,しゃがみに当たらない
弱ソニックムーブ,CA,550,上,10,,30,40,+3,,-3,,,
弱ソニックムーブ（ジャスト）,CA,600,上,10,,30,40,+4,,-3,,,
中ソニックムーブ,CA,550,上,10,,30,40,+3,,-3,,,
弱ソニックムーブ（ジャスト）,CA,600,上,10,,30,40,+4,,-3,,,
弱ソニックムーブ,CA,550,上,10,,30,40,+3,,-3,,,
弱ソニックムーブ（ジャスト）,CA,600,上,10,,30,40,+4,,-3,,,
ODソニックムーブ,CA,1000,上,10,,28,38,D,,+3,,,
弱サマーソルトキック,CA,1000,上,5,6,41,51,D,,-30,,,
弱サマーソルトキック（ジャスト）,CA,1200,上,5,6,41,51,D,,-30,,,
中サマーソルトキック,CA,1100,上,6,6,42,53,D,,-31,,,
中サマーソルトキック（ジャスト）,CA,1300,上,6,6,42,53,D,,-31,,,
強サマーソルトキック,CA,1200,上,7,6,43,55,D,,-32,,,
弱サマーソルトキック（ジャスト）,CA,1400,上,7,6,43,55,D,,-32,,,
ODサマーソルトキック,,1600,上,6,6,46,57,D,,-33,,1～13F無敵,
弱ソニックブレイド,CA,400,上,16,,26,42,-3,,-4,,,
中ソニックブレイド,CA,400,上,21,,29,50,-6,,-7,,,
強ソニックブレイド,CA,500,上,31,,24,54,+1,,-1,,,
ODソニックブレイド,CA,300,上,15,,24,39,D,,-4,,,
ソニックブレイド＞ソニッククロス,,1000,上,10,,28,38,D,,-1,,,
ソニックブレイド＞ODソニッククロス,,1300,上,10,,28,38,D,,+1,,,
ODソニックブレイド＞ソニッククロス,,1300,上,10,,28,38,D,,,,,
ODソニックブレイド＞ODソニッククロス,,1700,上,10,,28,38,D,,,,,
ソニックブレイク,,600,上,11,,26,36,+2,,-2,,,
ソニックブレイク（派生）,,600,上,11,,26,36,+2,,-2,,,
ソニックハリケーン,,2000,上,8,,81,89,D,,-26,,1F無敵2～8F打撃無敵,
ソニックハリケーン（強）,,1800,上,7,,68,75,D,,-2,,1F無敵,しゃがみに当たらない
ソリッドパンチャー,,,,1,,5,6,,,,,,
クロスファイアサマーソルト,,4000,上,9,6,70,84,D,,-59,,1～14F無敵,体力25％以下になると性能アップ（ダメージ4500）
