技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,300,上,5,2,7,13,+5,+9,±0,+4,,
立ち弱P（Lv1～）,必、CA,300,上,5,3,9,16,+2,+6,-3,+1,,
立ち中P,,600,上,8,4,14,25,+5,+9,+1,+5,,
立ち強P,必、CA,900,上,5,1（1）1（4）3,20,34,+1,+5,-3,+1,,
立ち弱K,必、CA,300,上,5,2,11,17,+3,+7,-1,+3,,
立ち中K,必、CA,600,上,10,3,17,29,+1,+5,-3,+1,,
立ち強K,必、CA,800,上,15,3,21,38,+1,+5,-5,-1,,パニカンでよろける
しゃがみ弱P,必、CA,250,上,4,2,9,14,+5,+9,-1,+3,,
しゃがみ中P,必、CA,600,上,6,3,13,21,+3,+7,±0,+4,,
しゃがみ大P,必、CA,900,上,9,5,23,36,±0,+4,-8,-4,,
しゃがみ弱K,,200,下,5,2,11,17,+1,+5,-3,+1,,
しゃがみ中K,必、CA,500,下,7,3,18,27,-1,+3,-6,-2,,
しゃがみ大K,,800,下,9,2（2）3,28,43,D,D,-10,-6,,
ジャンプ弱P,,700,中,5,9,,,,,,,,
ジャンプ中P,※必,700,中,7,4,,,,,,,,前ジャンプの時のみ必殺技キャンセル可能
ジャンプ強P,,800,中,10,6,,,,,,,,
ジャンプ弱K,,300,中,6,6,,,,,,,,
ジャンプ中K,,500,中,7,6,,,,,,,,
ジャンプ強K,,800,中,8,3（5）4,,,,,,,,
↓+KK,,600,上,9,3,22,33,D,D,-8,-4,,
しゃがみ強K＞強K,,500,上,12,4,43,57,D,,-28,,,
しゃがみ強K＞強K＞P,,,,,,,60,,,-46,,,起き上がり相手に4F有利
→+中K,,600,中,22,5,20,44,+1,+5,-3,+1,,
←+強P,CA,800,上,18,4,20,41,+1,+5,-3,+1,,
→+強K,CA,900,上,16,3,20,38,+3,+7,-3,+1,,
立ち弱P＞弱K（Lｖ1～）,,200,上,6,2,16,23,-3,,-8,,,
立ち弱P＞弱K＞中P（Lv1～）,必、CA,500,上,8,5,21,31,-2,,-10,,,
→+中K＞中K（Lv2～）,,400,上,15,3（5）2,28,52,D,,-14,,,
→+中K＞中K＞P（Lv2～）,,,,,,,,,,-46,,,
←+強P＞強P(Lv3～）,,600,上,21,4,20,44,+1,,-11,,,
←+強P＞強P＞強K(Lv3～）,,800,上,21,3,37,60,D,,-20,,,
→+強K＞←+強K（Lv4）,,,,16～,,76,,,,,,,
→+強K＞←+強K＞P（Lv4）派生1,必、CA,700,上,25～45+17,4,28,48,D,,-12,,,
→+強K＞←+強K＞P（Lv4）派生2,必、CA,,上,49～75+4,2（8）2（11）2,27,55,D,,-9,,,
→+強K＞←+強K＞P（Lv4）派生3,,,,76～100,,,52,,,,,,
魔身,,,,48,,2,50,,,,,,
魔身（Lv2),,,,92,,5,97,,,,,,
魔身（Lv3),,,,141,,5,146,,,,,,
魔身（Lv4),,,,188,,5,193,,,,,,
弱流酔拳,CA,350,上,13,2,24,38,-1,,-6,,,
弱流酔拳＞→P,,350,上,13,2,28,42,-3,,-13,,,
弱流酔拳＞→P＞→P,,550,上,13,2,30,44,D,,-17,,,
