技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,300,上,5,2,7,13,+5,+9,±0,+4,,
立ち弱P（Lv1～）,必、CA,300,上,5,3,9,16,+2,+6,-3,+1,,
立ち中P,,600,上,8,4,14,25,+5,+9,+1,+5,,
立ち強P,必、CA,900,上,5,1（1）1（4）3,20,34,+1,+5,-3,+1,,
立ち弱K,必、CA,300,上,5,2,11,17,+3,+7,-1,+3,,
立ち中K,必、CA,600,上,10,3,17,29,+1,+5,-3,+1,,
立ち強K,必、CA,800,上,15,3,21,38,+1,+5,-5,-1,,パニカンでよろける
しゃがみ弱P,必、CA,250,上,4,2,9,14,+5,+9,-1,+3,,
しゃがみ中P,必、CA,600,上,6,3,13,21,+3,+7,±0,+4,,
しゃがみ大P,必、CA,900,上,9,5,23,36,±0,+4,-8,-4,,
しゃがみ弱K,,200,下,5,2,11,17,+1,+5,-3,+1,,
しゃがみ中K,必、CA,500,下,7,3,18,27,-1,+3,-6,-2,,
しゃがみ大K,,800,下,9,2（2）3,28,43,D,D,-10,-6,,
ジャンプ弱P,,700,中,5,9,,,,,,,,
ジャンプ中P,※必,700,中,7,4,,,,,,,,前ジャンプの時のみ必殺技キャンセル可能
ジャンプ強P,,800,中,10,6,,,,,,,,
ジャンプ弱K,,300,中,6,6,,,,,,,,
ジャンプ中K,,500,中,7,6,,,,,,,,
ジャンプ強K,,800,中,8,3（5）4,,,,,,,,
