技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
↓+KK,,600,上,9,3,22,33,D,D,-8,-4,,
しゃがみ強K＞強K,,500,上,12,4,43,57,D,,-28,,,
しゃがみ強K＞強K＞P,,,,,,,60,,,-46,,,起き上がり相手に4F有利
→+中K,,600,中,22,5,20,44,+1,+5,-3,+1,,
←+強P,CA,800,上,18,4,20,41,+1,+5,-3,+1,,
→+強K,CA,900,上,16,3,20,38,+3,+7,-3,+1,,
立ち弱P＞弱K（Lｖ1～）,,200,上,6,2,16,23,-3,,-8,,,
立ち弱P＞弱K＞中P（Lv1～）,必、CA,500,上,8,5,21,31,-2,,-10,,,
→+中K＞中K（Lv2～）,,400,上,15,3（5）2,28,52,D,,-14,,,
→+中K＞中K＞P（Lv2～）,,,,,,,,,,-46,,,
←+強P＞強P(Lv3～）,,600,上,21,4,20,44,+1,,-11,,,
←+強P＞強P＞強K(Lv3～）,,800,上,21,3,37,60,D,,-20,,,
→+強K＞←+強K（Lv4）,,,,16～,,76,,,,,,,
→+強K＞←+強K＞P（Lv4）派生1,必、CA,700,上,25～45+17,4,28,48,D,,-12,,,
→+強K＞←+強K＞P（Lv4）派生2,必、CA,,上,49～75+4,2（8）2（11）2,27,55,D,,-9,,,
→+強K＞←+強K＞P（Lv4）派生3,,,,76～100,,,52,,,,,,
