技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考,
立ち弱P,必、CA,300,上,6,3,10,18,4,8,-2,2,,,
立ち中P,,700,上,12,3,21,35,1,5,-6,-2,,,
立ち強P,必、CA,800,上,12,2,22,35,3,7,-3,1,,,
立ち弱K,必、CA,300,上,5,3,11,18,3,7,-2,2,,,
立ち中K,必、CA,600,上,8,3,19,29,1,5,-3,1,,,
立ち強K,,800,上,12,4,17,32,7,11,2,6,,,
しゃがみ弱P,必、CA,300,上,4,2,11,16,4,8,-1,3,,,
しゃがみ中P,必、CA,600,上,7,4,14,24,6,10,-2,2,,,
しゃがみ大P,必、CA,800,上,9,6,20,34,1,5,-6,-2,,,
しゃがみ弱K,,200,下,6,2,10,17,2,6,-2,2,,,
しゃがみ中K,,700,下,9,3,17,28,3,7,-3,1,,,
しゃがみ大K,,900,下,10,3,21,33,D,D,-6,-2,,,
ジャンプ弱P,,300,中,5,10,,,,,,,,,
ジャンプ中P,,700,中,12,3,,,,,,,,,
ジャンプ強P,,800,中,9,5,,,,,,,,,
ジャンプ弱K,,300,中,6,8,,,,,,,,,
ジャンプ中K,,600,中,7,6,,,,,,,,,
ジャンプ強K,,800,中,11,6,,,,,,,,,
