技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考,
トリグラフ,CA,800,上,22,10,24,55,D,,-2,,,,
ODトリグラフ,CA,1000,上,20,20,14,53,D,,3,,,,
弱ストリボーグ,CA,1000,上,16,3・3,28,49,D,,-10,,,持続後半3Fは弾属性,
中ストリボーグ,CA,1200,上,20,3（1）3,27,53,D,,-8,,,持続後半3Fは弾属性,
強ストリボーグ,CA,800,上,28,3（9）3,19,61,D,,4,,,持続後半3Fは弾属性,
ODストリボーグ,CA,800,上,22,3（6）3,22,55,D,,2,,,持続後半3Fは弾属性,
ヴィーハト,,,,,,,50,,,,,,一定時間でヴィーハト・チェーニに派生,
ヴィーハト・アクノ,,,,,,,44,,,,,6～25F無敵,,
ヴィーハト・チェーニ,,800,上,20,,21,40,D,,10,,,,
アムネジア,,,,,,35,55,,,,,3～20当身判定,当身成立時飛び道具技に派生,
ODアムネジア,,,,,,35,55,,,,,1～20当身判定,当身成立時飛び道具技に派生,
弱トルバラン,CA,800,上,22,,28,50,D,,-6,,,,
中トルバラン,CA,1000,中,26,,24,50,6,,-8,,,,
強トルバラン,CA,1000,下,26,,24,50,6,,-8,,,,
トルバラン（ホールド）,,,,,,,34,,,,,,,
ODトルバラン,,800,上,22,,28,50,D,,25,,,,
アブニマーチ,,1800,投げ,26,3,70,98,D,,,,,,
ODアブニマーチ,,2600,投げ,26,3,70,98,D,,,,,,
