技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考,
立ち弱P,必、CA,300,上,6,3,10,18,+4,+8,-2,+2,,,
立ち中P,,700,上,12,3,21,35,+1,+5,-6,-2,,,
立ち強P,必、CA,800,上,12,2,22,35,+3,+7,-3,+1,,,
立ち弱K,必、CA,300,上,5,3,11,18,+3,+7,-2,+2,,,
立ち中K,必、CA,600,上,8,3,19,29,+1,+5,-3,+1,,,
立ち強K,,800,上,12,4,17,32,+7,+11,+2,+6,,,
しゃがみ弱P,必、CA,300,上,4,2,11,16,+4,+8,-1,+3,,,
しゃがみ中P,必、CA,600,上,7,4,14,24,+6,+10,-2,+2,,,
しゃがみ大P,必、CA,800,上,9,6,20,34,+1,+5,-6,-2,,,
しゃがみ弱K,,200,下,6,2,10,17,+2,+6,-2,+2,,,
しゃがみ中K,,700,下,9,3,17,28,+3,+7,-3,+1,,,
しゃがみ大K,,900,下,10,3,21,33,D,D,-6,-2,,,
ジャンプ弱P,,300,中,5,10,,,,,,,,,
ジャンプ中P,,700,中,12,3,,,,,,,,,
ジャンプ強P,,800,中,9,5,,,,,,,,,
ジャンプ弱K,,300,中,6,8,,,,,,,,,
ジャンプ中K,,600,中,7,6,,,,,,,,,
ジャンプ強K,,800,中,11,6,,,,,,,,,
→+中K,,700,中,22,2,19,42,+3,+7,-3,+1,,,
↘+強P,,900,下,16,3,31,49,D,D,-14,-10,,,
→+強K,,900,上,11,6,24,40,D,D,-5,-1,,,
←+中P,必、CA,500,上,8,3,16,26,+5,+9,-1,+3,,,
←+中P＞中P,必、CA,500,上,10,3,20,32,+3,,-6,,,,
立ち強K＞強P,必、CA,500,上,20,3,20,42,+3,,-3,,,,
立ち強K＞強P＞強P,,1000,中,21,3,22,45,+3,,-4,,,,※フレームメーターだと持続が4になってるが全体硬直は45で足し算が合わないのでおそらく持続のフレームをゲーム側が間違えて表示してる
立ち強K＞強P＞強K,,1000,下,21,3,22,45,+3,,-4,,,,
トリグラフ,CA,800,上,22,10,24,55,D,,-2,,,,
ODトリグラフ,CA,1000,上,20,20,14,53,D,,+3,,,,
弱ストリボーグ,CA,1000,上,16,3・3,28,49,D,,-10,,,持続後半3Fは弾属性,
中ストリボーグ,CA,1200,上,20,3（1）3,27,53,D,,-8,,,持続後半3Fは弾属性,
強ストリボーグ,CA,800,上,28,3（9）3,19,61,D,,+4,,,持続後半3Fは弾属性,
ODストリボーグ,CA,800,上,22,3（6）3,22,55,D,,+2,,,持続後半3Fは弾属性,
ヴィーハト,,,,,,,50,,,,,,一定時間でヴィーハト・チェーニに派生,
ヴィーハト・アクノ,,,,,,,44,,,,,6～25F無敵,,
ヴィーハト・チェーニ,,800,上,20,,21,40,D,,+10,,,,
アムネジア,,,,,,35,55,,,,,3～20当身判定,当身成立時飛び道具技に派生,
ODアムネジア,,,,,,35,55,,,,,1～20当身判定,当身成立時飛び道具技に派生,
弱トルバラン,CA,800,上,22,,28,50,D,,-6,,,,
中トルバラン,CA,1000,中,26,,24,50,+6,,-8,,,,
強トルバラン,CA,1000,下,26,,24,50,+6,,-8,,,,
トルバラン（ホールド）,,,,,,,34,,,,,,,
ODトルバラン,,800,上,22,,28,50,D,,+25,,,,
アブニマーチ,,1800,投げ,26,3,70,98,D,,,,,,
ODアブニマーチ,,2600,投げ,26,3,70,98,D,,,,,,
チェルノボーグ,,2000,上,8,14,62,84,D,,-33,,1F無敵2～10F打撃無敵,,
ラヴーシュカ,,,上・中・下・中,,,,8,,,,,1F無敵,,
ザプリェット,,4000,上,18,6,62,85,D,,-50,,1～23F無敵,体力25％以下で性能アップ（ダメージ4500）,
