技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,300,上,4,4,7,14,5,9,-2,2,,
立ち中P,必、CA,600,上,6,5,12,21,7,11,2,6,,
立ち強P,必、CA,800,上,10,3,24,36,-1,3,-5,-1,,
立ち弱K,必、CA,300,上,5,3,9,16,2,6,-3,1,,
立ち中K,必、CA,700,上,5,2（1）3,17,27,3,7,-4,±0,,
立ち強K,,900,上,17,4,19,39,2,6,-3,1,,
しゃがみ弱P,必、CA,300,上,4,3,8,14,4,8,-1,3,,
しゃがみ中P,必、CA,600,上,6,4,14,23,5,9,-2,2,,
しゃがみ大P,必、CA,900,上,8,4,23,34,3,7,-11,-7,,
しゃがみ弱K,,200,下,5,3,8,15,3,7,-1,3,,
しゃがみ中K,必、CA,500,下,8,3,19,29,1,5,-6,-2,,
しゃがみ大K,,900,下,10,3,23,35,D,D,-11,-7,,
ジャンプ弱P,,300,中,5,6,,,,,,,,
ジャンプ中P,※必,700,中,9,5,,,,,,,,前Jの時のみ必殺技キャンセル可能
ジャンプ強P,,900,中,12,6,,,D,,,,,
ジャンプ弱K,,300,中,4,6,,,,,,,,
ジャンプ中K,,500,中,6,6,,,,,,,,
垂直ジャンプ強K,,800,中,10,4,,,,,,,,
ジャンプ強K,,800,中,10,6,,,,,,,,
