技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
歳破衝,,400,上,16,,30,45,-2,,-8,,,
歳破衝（風破ストック）,,600,上,16,,30,45,1,,-3,,,風破ストックある場合暗剣殺or五黄殺にキャンセル可能
暗剣殺,CA,600,上,24,4,19,46,3,,-10,,,
暗剣殺（風破ストック）,CA,600,上,24,4,19,46,8,,-10,,,
五黄殺,CA,1000,上,18,4,27,48,D,,-11,,,
五黄殺（風破ストック）,CA,1200,上,18,4（12）3,27,63,D,,-12,,,
弱天穿輪,CA,800,上,11,3（2）2,22,39,D,,-8,,,
中天穿輪,,1200,上,5,8（5）2（3）2,38,62,D,,-37,,,
強天穿輪,,1200,上,5,8（5）2（3）2,38,62,D,,-37,,,
OD天穿輪,,1600,上,6,4（1）2（6）2（2）2,51,75,D,,-48,,1～9F無敵,
疾空閃,,400,上,18,着地まで,,,,,-10,,,
OD疾空閃,,300,上,16,着地まで,,,,,-10,,,
疾空閃＞死連閃,,1200,上,6,,,,,,,,,疾空閃ガード時は出ない
OD疾空閃＞死連閃,,900,上,6,,,,,,,,,OD疾空閃ガード時は出ない
