技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,300,上,4,4,7,14,+5,+9,-2,+2,,
立ち中P,必、CA,600,上,6,5,12,21,+7,+11,+2,+6,,
立ち強P,必、CA,800,上,10,3,24,36,-1,+3,-5,-1,,
立ち弱K,必、CA,300,上,5,3,9,16,+2,+6,-3,+1,,
立ち中K,必、CA,700,上,5,2（1）3,17,27,+3,+7,-4,±0,,
立ち強K,,900,上,17,4,19,39,+2,+6,-3,+1,,
しゃがみ弱P,必、CA,300,上,4,3,8,14,+4,+8,-1,+3,,
しゃがみ中P,必、CA,600,上,6,4,14,23,+5,+9,-2,+2,,
しゃがみ大P,必、CA,900,上,8,4,23,34,+3,+7,-11,-7,,
しゃがみ弱K,,200,下,5,3,8,15,+3,+7,-1,+3,,
しゃがみ中K,必、CA,500,下,8,3,19,29,+1,+5,-6,-2,,
しゃがみ大K,,900,下,10,3,23,35,D,D,-11,-7,,
ジャンプ弱P,,300,中,5,6,,,,,,,,
ジャンプ中P,※必,700,中,9,5,,,,,,,,前Jの時のみ必殺技キャンセル可能
ジャンプ強P,,900,中,12,6,,,D,,,,,
ジャンプ弱K,,300,中,4,6,,,,,,,,
ジャンプ中K,,500,中,6,6,,,,,,,,
垂直ジャンプ強K,,800,中,10,4,,,,,,,,
ジャンプ強K,,800,中,10,6,,,,,,,,
→+中P,必、CA,600,上,8,3,17,27,+4,+8,-3,+1,,
→+中K,,600,中,21,2,21,43,+2,+6,-3,+1,,
→+強P,必、CA,1000,上,15,3（5）3,20,45,+2,+6,-4,±0,,
←+強K,必、CA,800,上,10,3（6）3,19,40,-2,+2,-6,-2,,
立ち中P＞←+強P,,500,上,12,3,19,33,D,,-3,,,
立ち中P＞←+強P＞強P,,600,上,17,3,27,46,D,,-16,,,
弱風破刃,CA,600,上,10,4,19,32,D,,-4,,,
中風破刃,CA,600,上,13,4,21,37,D,,-6,,,
強風破刃,CA,500,上,25,4,22,50,D,,-8,,,
OD風破刃,CA,600,上,16,4,23,42,D,,-12,,,
歳破衝,,400,上,16,,30,45,-2,,-8,,,
歳破衝（風破ストック）,,600,上,16,,30,45,+1,,-3,,,風破ストックある場合暗剣殺or五黄殺にキャンセル可能
暗剣殺,CA,600,上,24,4,19,46,+3,,-10,,,
暗剣殺（風破ストック）,CA,600,上,24,4,19,46,+8,,-10,,,
五黄殺,CA,1000,上,18,4,27,48,D,,-11,,,
五黄殺（風破ストック）,CA,1200,上,18,4（12）3,27,63,D,,-12,,,
弱天穿輪,CA,800,上,11,3（2）2,22,39,D,,-8,,,
中天穿輪,,1200,上,5,8（5）2（3）2,38,62,D,,-37,,,
強天穿輪,,1200,上,5,8（5）2（3）2,38,62,D,,-37,,,
OD天穿輪,,1600,上,6,4（1）2（6）2（2）2,51,75,D,,-48,,1～9F無敵,
疾空閃,,400,上,18,着地まで,,,,,-10,,,
OD疾空閃,,300,上,16,着地まで,,,,,-10,,,
疾空閃＞死連閃,,1200,上,6,,,,,,,,,疾空閃ガード時は出ない
OD疾空閃＞死連閃,,900,上,6,,,,,,,,,OD疾空閃ガード時は出ない
殺界風破斬,,1800,上,7,1（5）1（16）1（32）1（14）1（61）1,61,201,D,,-32,,1～8F打撃無敵,
殺界風破斬（風破ストック）,,2100,上,7,1（5）1（16）1（32）1（14）1（61）1,60,200,D,,-31,,1～8F打撃無敵,
風水エンジン,,,,,,,7,,,,,,
風水エンジン（ホールド）,,300,上,9,11,26,45,-2,,-17,,,通常技にキャンセル可能
回旋断界落,,4000,上,10,4,52,65,D,,-31,,1～13F無敵,体力25％以下で性能アップ（ダメージ4500）
