技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,300,上,4,3,7,13,4,8,-1,3,,
立ち中P,必、CA,600,上,5,4,14,22,4,8,-2,2,,
立ち強P,必、CA,800,上,10,5,17,31,3,7,-2,2,,
立ち弱K,必、CA,300,上,5,2,12,18,±0,4,-2,2,,
立ち中K,,600,上,8,3,20,30,3,7,-5,-1,,
立ち強K,,800,上,12,2,25,38,1,5,-5,-1,,
しゃがみ弱P,必、CA,300,上,4,2,9,14,5,9,-1,3,,
しゃがみ中P,必、CA,700,上,6,3,14,22,3,7,±0,4,,
しゃがみ大P,必、CA,800,上,8,4,24,35,3,7,-10,-6,,
しゃがみ弱K,,200,下,5,3,10,17,1,5,-3,1,,
しゃがみ中K,必、CA,500,下,7,3,19,28,-2,2,-6,-2,,
しゃがみ大K,,900,下,8,3,24,34,D,D,-10,-6,,
ジャンプ弱P,,300,中,5,7,,,,,,,,
ジャンプ中P,※必,700,中,6,4,,,,,,,,前Jの時のみ必殺技キャンセル可能
ジャンプ強P,,800,中,9,6,,,,,,,,
ジャンプ弱K,,300,中,6,6,,,,,,,,
ジャンプ中K,,500,中,7,6,,,,,,,,
垂直ジャンプ強K,,900,中,6,4,,,,,,,,
ジャンプ強K,,800,中,10,7,,,,,,,,
