技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
弱波動拳,CA,600,上,16,,33,49,-1,,-7,,,
中波動拳,CA,600,上,14,,35,49,-3,,-9,,,
強波動拳,CA,600,上,12,,37,49,-5,,-11,,,
OD波動拳,CA,600,上,12,,28,40,2,,-2,,,
弱昇竜拳,CA,1100,上,5,10,33,47,D,,-23,,,
中昇竜拳,CA,1300,上,6,10,40,55,D,,-28,,,
強昇竜拳,CA,1400,上,7,10,50,66,D,,-36,,5F～弾無敵,
OD昇竜拳,,1600,上,6,10（14）10,50,89,D,,-40,,1～10F無敵,
昇竜拳（奮迅）,CA,1700,上,9,11,48,67,D,,-35,,3F～弾無敵,
弱竜巻旋風脚,,700,上,4,2（6）4,32,46,D,,-14,,,
中竜巻旋風脚,,900,上,14,2（13）2,31,61,D,,-12,,,
強竜巻旋風脚,,1000,上,16,2（13）2（13）2,31,78,D,,-12,,,
OD竜巻旋風脚,,1500,上,9,4（5）3（6）3（6）3（15）3,34,90,D,,-61,,,
竜巻旋風脚（奮迅）,,1200,上,13,2（2）3（2）2（2）3（2）2（2）3（2）2（2）3（2）2（5）3,20,78,3,,-9,,,
空中竜巻旋風脚,,900,上,11,2（5）2（6）2,着地後14F,,D,,-5,,,
OD空中竜巻旋風脚,,900*n,上,11,2（1）2（2）2（2）2（3）2,着地後14F,,5,,-4,,,
弱龍尾脚,,950,上,18,6,21,44,2,,-4,,,
中龍尾脚,,1100,上,23,5,25,52,3,,-8,,,
強龍尾脚,,1200,上,28,5,21,53,3,,1,,,
OD龍尾脚,,700,上,9,2（7）7,24,47,1,,-9,,,
龍尾脚（奮迅）,,700,上,9,4（5）6,24,47,2,,-8,,,
弱迅雷脚,CA,500,上,12,3,28,42,1,,-11,,,
中迅雷脚,CA,600,上,16,3,24,42,2,,-7,,,
強迅雷脚,CA,700,上,25,3,19,46,D,,-2,,,
OD迅雷脚,CA,600,上,13,3,25,40,-4,,-7,,,
風鎌蹴り,CA,500,下,6,4,19,28,3,,-5,,,
OD風鎌蹴り,CA,500,下,6,3,20,28,3,,-5,,,
轟雷落とし,CA,1000,中,18,3,20,40,3,,-3,,,
OD轟雷落とし,CA,1000,中,17,3,24,43,-3,,-7,,,
閃火脚,CA,800,上,10,3,25,37,D,,-3,,,
OD閃火脚,CA,800,上,10,4,20,33,D,,-4,,,
