技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,300,上,4,3,7,13,+4,+8,-1,+3,,
立ち中P,必、CA,600,上,5,4,14,22,+4,+8,-2,+2,,
立ち強P,必、CA,800,上,10,5,17,31,+3,+7,-2,+2,,
立ち弱K,必、CA,300,上,5,2,12,18,±0,+4,-2,+2,,
立ち中K,,600,上,8,3,20,30,+3,+7,-5,-1,,
立ち強K,,800,上,12,2,25,38,+1,+5,-5,-1,,
しゃがみ弱P,必、CA,300,上,4,2,9,14,+5,+9,-1,+3,,
しゃがみ中P,必、CA,700,上,6,3,14,22,+3,+7,±0,+4,,
しゃがみ大P,必、CA,800,上,8,4,24,35,+3,+7,-10,-6,,
しゃがみ弱K,,200,下,5,3,10,17,+1,+5,-3,+1,,
しゃがみ中K,必、CA,500,下,7,3,19,28,-2,+2,-6,-2,,
しゃがみ大K,,900,下,8,3,24,34,D,D,-10,-6,,
ジャンプ弱P,,300,中,5,7,,,,,,,,
ジャンプ中P,※必,700,中,6,4,,,,,,,,前Jの時のみ必殺技キャンセル可能
ジャンプ強P,,800,中,9,6,,,,,,,,
ジャンプ弱K,,300,中,6,6,,,,,,,,
ジャンプ中K,,500,中,7,6,,,,,,,,
垂直ジャンプ強K,,900,中,6,4,,,,,,,,
ジャンプ強K,,800,中,10,7,,,,,,,,
KK,,,,,,,45,,,,,,
KK＞弱K,,,,,,,16,,,,,,21F目から派生キャンセル可能
KK＞中K,CA,1000,中,18,3,20,40,+3,,-3,,,
KK＞強K,CA,800,上,10,4,20,33,+3,,-4,,,
立ち中P＞強P,必、CA,400,上,11,3,27,40,D,,-14,,,
立ち中K＞中K,,400,上,11,2,27,39,D,,-12,,,
立ち中K＞中K＞強K,,700,上,13,3,28,43,D,,-11,,,
弱波動拳,CA,600,上,16,,33,49,-1,,-7,,,
中波動拳,CA,600,上,14,,35,49,-3,,-9,,,
強波動拳,CA,600,上,12,,37,49,-5,,-11,,,
OD波動拳,CA,600,上,12,,28,40,+2,,-2,,,
弱昇竜拳,CA,1100,上,5,10,33,47,D,,-23,,,
中昇竜拳,CA,1300,上,6,10,40,55,D,,-28,,,
強昇竜拳,CA,1400,上,7,10,50,66,D,,-36,,5F～弾無敵,
OD昇竜拳,,1600,上,6,10（14）10,50,89,D,,-40,,1～10F無敵,
昇竜拳（奮迅）,CA,1700,上,9,11,48,67,D,,-35,,3F～弾無敵,
弱竜巻旋風脚,,700,上,4,2（6）4,32,46,D,,-14,,,
中竜巻旋風脚,,900,上,14,2（13）2,31,61,D,,-12,,,
強竜巻旋風脚,,1000,上,16,2（13）2（13）2,31,78,D,,-12,,,
OD竜巻旋風脚,,1500,上,9,4（5）3（6）3（6）3（15）3,34,90,D,,-61,,,
竜巻旋風脚（奮迅）,,1200,上,13,2（2）3（2）2（2）3（2）2（2）3（2）2（2）3（2）2（5）3,20,78,+3,,-9,,,
空中竜巻旋風脚,,900,上,11,2（5）2（6）2,着地後14F,,D,,-5,,,
OD空中竜巻旋風脚,,900*n,上,11,2（1）2（2）2（2）2（3）2,着地後14F,,+5,,-4,,,
弱龍尾脚,,950,上,18,6,21,44,+2,,-4,,,
中龍尾脚,,1100,上,23,5,25,52,+3,,-8,,,
強龍尾脚,,1200,上,28,5,21,53,+3,,+1,,,
OD龍尾脚,,700,上,9,2（7）7,24,47,+1,,-9,,,
龍尾脚（奮迅）,,700,上,9,4（5）6,24,47,+2,,-8,,,
弱迅雷脚,CA,500,上,12,3,28,42,+1,,-11,,,
中迅雷脚,CA,600,上,16,3,24,42,+2,,-7,,,
強迅雷脚,CA,700,上,25,3,19,46,D,,-2,,,
OD迅雷脚,CA,600,上,13,3,25,40,-4,,-7,,,
風鎌蹴り,CA,500,下,6,4,19,28,+3,,-5,,,
OD風鎌蹴り,CA,500,下,6,3,20,28,+3,,-5,,,
轟雷落とし,CA,1000,中,18,3,20,40,+3,,-3,,,
OD轟雷落とし,CA,1000,中,17,3,24,43,-3,,-7,,,
閃火脚,CA,800,上,10,3,25,37,D,,-3,,,
OD閃火脚,CA,800,上,10,4,20,33,D,,-4,,,
火砕蹴,CA,400,上,15,3,29,46,D,,-12,,,
龍尾烈脚,,2000,上,7,3,41,50,D,,-24,,1F無敵2～9F打撃無敵,
疾風迅雷脚,,2700,上,6,2（10）3（10）3（12）3（11）2,32,93,D,,-19,,1F無敵,
神龍烈破,,4000,上,7,3（1）6（16）13,45,90,D,,-30,,1～18F無敵,体力25％以下で性能アップ（ダメージ4500）
