技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
弱武神旋風脚,,990,上,6,2（12）6（8）3,23,59,D,,-30,,,
中武神旋風脚,,1080,上,7,2（12）7（8）8,25,62,D,,-32,,,
強武神旋風脚,,1170,上,8,2（12）7（8）8,28,66,D,,-35,,,
OD武神旋風脚,,1350,上,6,6（1）6（1）6（1）6（1）2,29,64,D,,-40,,,
空中武神旋風脚,,900,上,8,2（7）2（7）2,,,,,,,,
OD空中武神旋風脚,,990,上,8,2（2）3（2）2（2）3（2）2,22,49,,,,,,
疾駆け,,450,上,23,2（6）2,30,62,3,,-6,,,
疾駆け＞P,,,,,,,14,,,,,,疾駆け8F目からキャンセル可能
疾駆け＞弱K,CA,900,上,21,7,16,43,D,,1,,,疾駆け8F目からキャンセル可能
疾駆け＞中K,CA,720,下,10,12,19,40,D,,-12,,,疾駆け8F目からキャンセル可能
疾駆け＞強K,CA,900,中,19,5,19,42,D,,-3,,,疾駆け8F目からキャンセル可能
OD疾駆け,,,上,21,2（6）2,30,60,3,,-6,,,
OD疾駆け＞P,,,,,,,13,,,,,,OD疾駆け6F目からキャンセル可能
OD疾駆け＞弱K,CA,1080,上,17,7,16,39,D,,3,,,OD疾駆け6F目からキャンセル可能
OD疾駆け＞中K,CA,900,下,8,12,19,38,D,,-10,,,OD疾駆け6F目からキャンセル可能
OD疾駆け＞強K,CA,1080,中,15,5,19,38,D,,-1,,,OD疾駆け6F目からキャンセル可能
疾駆けヒットorガード＞P,,1440,投げ,13,6,40,58,D,,,,,
疾駆けヒットorガード＞K,,630,上,13,6,20,38,D,,-8,,,
OD疾駆けヒットorガード＞P,,900,投げ,13,6,40,58,D,,,,,
OD疾駆けヒットorガード＞K,CA,630,上,13,6,20,38,D,,-8,,,
弱流転一文字,CA,810,上,10,2,25,33,3,,-6,,,
中流転一文字,CA,1080,上,17,2,31,46,D,,-12,,,
強流転一文字,CA,540,上,24,2,31,53,D,,-12,,,
OD流転一文字,CA,540,上,17,2,31,46,D,,-12,,,
彩隠形,,,,,,17,43,,,,,19F目～26F目まで完全無敵,34F目から各種行動にキャンセル可能
OD彩隠形,,,,,,19,45,,,,,19F目～26F目まで完全無敵,34F目から各種行動にキャンセル可能
召雷細工,,,,,,,44,,,,,,手裏剣ストック0本のときのみ使用可能
OD召雷細工,,,,,,,44,,,,,,手裏剣ストック0本のときのみ使用可能
細工手裏剣,,450,上,,,,44,,,,,,手裏剣ストック1本以上のときのみ使用可能
乱れ細工手裏剣,,450,上,,,,44,,,,,,手裏剣ストック2本のときのみ使用可能
荒鵺捻り,,1440,投げ,5,3,,,,,,,,
OD荒鵺捻り,,900,投げ,5,3,,,,,,,,
