技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
↘+中K,,450,下,11,10,16,36,-3,1,-9,-5,,
←+強K,,720,中,22,2,19,42,4,8,-3,1,,
→+強K,,720,上,27,3,21,50,1,5,-3,1,,
→+強K＞↖or↑or↗,,,,,,,,,,,,P技は19F目、K技は21F目からキャンセル可能,
空中↓中P,,540,上,13,着地まで,8,,,,,,,
立ち中P＞強P,必、CA,360,上,10,3,26,38,D,,-12,,,
立ち弱P＞中P,,360,上,6,3,18,26,1,,-6,,,
立ち弱P＞中P＞強P,,440,上,12,2,25,38,D,,-10,,,
立ち弱P＞中P＞強P＞強K,,520,上,26,3,24,52,D,,-12,,,
立ち弱P＞中P＞↓強P,,580,上,10,2,25,36,2,,-10,,,
立ち弱P＞中P＞↓強P＞強K,,750,上,15,3,24,41,D,,-12,,,
立ち弱P＞中P＞↓強P＞↓強K,,750,上,15,3,23,40,D,,-12,,,
