技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,270,上,5,2,8,14,+5,+9,-2,+2,,
立ち中P,必、CA,540,上,6,3,18,26,+3,+7,-2,+2,,
立ち強P,必、CA,630,上,9,3,20,31,+3,+7,-4,±0,パニカンでよろける,
立ち弱K,必、CA,270,上,5,3,11,18,+1,+5,-3,+1,,
立ち中K,必、CA,540,上,8,3,18,28,+1,+5,-4,±0,,
立ち強K,,630,上,12,4,17,32,+7,+11,+2,+6,,
しゃがみ弱P,必、CA,270,上,4,3,7,13,+4,+8,-2,+2,,
しゃがみ中P,必、CA,450,上,6,3,13,21,+7,+11,-1,+3,,
しゃがみ大P,必、CA,720,上,8,6,17,30,+3,+7,-2,+2,,
しゃがみ弱K,,180,下,5,3,7,14,+2,+6,-2,+2,,
しゃがみ中K,,540,下,7,3,16,25,+5,+9,+1,+5,,
しゃがみ大K,,810,下,8,3,24,34,D,D,-10,-6,,
ジャンプ弱P,,270,中,4,9,,,,,,,,
ジャンプ中P,必,450,中,6,4,,,,,,,,
ジャンプ強P,,630,中,8,5,,,,,,,,
ジャンプ弱K,,270,中,5,10,,,,,,,,
ジャンプ中K,,540,中,7,6,,,,,,,,
ジャンプ強K,,630,中,9,6,,,,,,,,
↘+中K,,450,下,11,10,16,36,-3,+1,-9,-5,,
←+強K,,720,中,22,2,19,42,+4,+8,-3,+1,,
→+強K,,720,上,27,3,21,50,+1,+5,-3,+1,,
→+強K＞↖or↑or↗,,,,,,,,,,,,P技は19F目、K技は21F目からキャンセル可能,
空中↓中P,,540,上,13,着地まで,8,,,,,,,
立ち中P＞強P,必、CA,360,上,10,3,26,38,D,,-12,,,
立ち弱P＞中P,,360,上,6,3,18,26,+1,,-6,,,
立ち弱P＞中P＞強P,,440,上,12,2,25,38,D,,-10,,,
立ち弱P＞中P＞強P＞強K,,520,上,26,3,24,52,D,,-12,,,
立ち弱P＞中P＞↓強P,,580,上,10,2,25,36,+2,,-10,,,
立ち弱P＞中P＞↓強P＞強K,,750,上,15,3,24,41,D,,-12,,,
立ち弱P＞中P＞↓強P＞↓強K,,750,上,15,3,23,40,D,,-12,,,
弱武神旋風脚,,990,上,6,2（12）6（8）3,23,59,D,,-30,,,
中武神旋風脚,,1080,上,7,2（12）7（8）8,25,62,D,,-32,,,
強武神旋風脚,,1170,上,8,2（12）7（8）8,28,66,D,,-35,,,
OD武神旋風脚,,1350,上,6,6（1）6（1）6（1）6（1）2,29,64,D,,-40,,,
空中武神旋風脚,,900,上,8,2（7）2（7）2,,,,,,,,
OD空中武神旋風脚,,990,上,8,2（2）3（2）2（2）3（2）2,22,49,,,,,,
疾駆け,,450,上,23,2（6）2,30,62,+3,,-6,,,
疾駆け＞P,,,,,,,14,,,,,,疾駆け8F目からキャンセル可能
疾駆け＞弱K,CA,900,上,21,7,16,43,D,,+1,,,疾駆け8F目からキャンセル可能
疾駆け＞中K,CA,720,下,10,12,19,40,D,,-12,,,疾駆け8F目からキャンセル可能
疾駆け＞強K,CA,900,中,19,5,19,42,D,,-3,,,疾駆け8F目からキャンセル可能
OD疾駆け,,,上,21,2（6）2,30,60,+3,,-6,,,
OD疾駆け＞P,,,,,,,13,,,,,,OD疾駆け6F目からキャンセル可能
OD疾駆け＞弱K,CA,1080,上,17,7,16,39,D,,+3,,,OD疾駆け6F目からキャンセル可能
OD疾駆け＞中K,CA,900,下,8,12,19,38,D,,-10,,,OD疾駆け6F目からキャンセル可能
OD疾駆け＞強K,CA,1080,中,15,5,19,38,D,,-1,,,OD疾駆け6F目からキャンセル可能
疾駆けヒットorガード＞P,,1440,投げ,13,6,40,58,D,,,,,
疾駆けヒットorガード＞K,,630,上,13,6,20,38,D,,-8,,,
OD疾駆けヒットorガード＞P,,900,投げ,13,6,40,58,D,,,,,
OD疾駆けヒットorガード＞K,CA,630,上,13,6,20,38,D,,-8,,,
弱流転一文字,CA,810,上,10,2,25,33,+3,,-6,,,
中流転一文字,CA,1080,上,17,2,31,46,D,,-12,,,
強流転一文字,CA,540,上,24,2,31,53,D,,-12,,,
OD流転一文字,CA,540,上,17,2,31,46,D,,-12,,,
彩隠形,,,,,,17,43,,,,,19F目～26F目まで完全無敵,34F目から各種行動にキャンセル可能
OD彩隠形,,,,,,19,45,,,,,19F目～26F目まで完全無敵,34F目から各種行動にキャンセル可能
召雷細工,,,,,,,44,,,,,,手裏剣ストック0本のときのみ使用可能
OD召雷細工,,,,,,,44,,,,,,手裏剣ストック0本のときのみ使用可能
細工手裏剣,,450,上,,,,44,,,,,,手裏剣ストック1本以上のときのみ使用可能
乱れ細工手裏剣,,450,上,,,,44,,,,,,手裏剣ストック2本のときのみ使用可能
荒鵺捻り,,1440,投げ,5,3,,,,,,,,
OD荒鵺捻り,,900,投げ,5,3,,,,,,,,
武神乱拍子,,1800,上,12,15,40,66,D,,-25,,1F無敵2～14F打撃無敵,
武神乱拍子・雷譜,,2000,上,12,15,40,66,D,,-25,,1F無敵2～14F打撃無敵,手裏剣ストック1本以上のときのみ使用可能
武神天翔亢竜,,2600,上,13,8,39,59,D,,,,1F無敵,
空中武神天翔亢竜,,2600,上,13,着地まで,39,,D,,,,1F無敵,
武神顕現神楽,,4000,上,8,6,51,64,D,,-35,,1～13F無敵,ヒット後キャラクター性能UP、体力25％以下で性能アップ（ダメージ4500）
