技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,350,上,6,3,8,16,6,10,-1,3,,
立ち中P,,800,上,9,4,17,29,1,5,-4,±0,,
立ち強P,必、CA,900,上,11,4,22,35,±0,4,-5,-1,,
立ち弱K,必、CA,300,上,4,3,12,18,1,5,-4,-8,,
立ち中K,必、CA,600,上,7,3,15,24,2,6,-1,3,,
立ち強K,,1000,上,14,4,21,38,1,5,-5,-1,,
しゃがみ弱P,必、CA,300,上,6,3,8,16,5,9,-1,3,,
しゃがみ中P,CA,700,上,8,3,18,28,1,5,-3,1,,
しゃがみ大P,必、CA,1000,上,10,7,22,37,±0,4,-2,2,,
しゃがみ弱K,,200,下,5,2,12,18,2,6,-2,2,,
しゃがみ中K,必、CA,500,下,10,3,18,30,1,5,-5,-1,,
しゃがみ大K,,900,下,11,2（6）2,24,44,D,D,-12,-8,,
ジャンプ弱P,,300,中,5,9,,,,,,,,
ジャンプ中P,,700,中,8,4,,,,,,,,
ジャンプ強P,,800,中,9,6,,,,,,,,
ジャンプ弱K,,300,中,6,6,,,,,,,,
ジャンプ中K,,500,中,8,5,,,,,,,,
ジャンプ強K,,800,中,11,6,,,,,,,,
