技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
弱コンドルウィンド,,,,,,,47,,,,,,最大109Fまでホールド可能
中コンドルウィンド,CA,900,上,23,5,25,51,2,,-8,,,
強コンドルウィンド,CA,1100,上,25,5,25,53,D,,-8,,,
ODコンドルウィンド,CA,1200,上,21,5,23,47,D,,-5,,,
ODコンドルウィンド（ホールド）,,,,,,,40,,,,,,
弱コンドルスパイア,,800,上,17,13,16,45,D,,-8,,,
中コンドルスパイア,,900,上,21,13,16,49,D,,-8,,,
強コンドルスパイア,,1000,上,24,13,16,53,D,,-8,,,
ODコンドルスパイア,,1000,上,15,13,16,43,D,,-8,,,
弱コンドルスパイア（風纏い）,,1000,上,9,5（6）18,14,51,D,,1,,,
中コンドルスパイア（風纏い）,,1100,上,13,5（6）18,14,55,D,,1,,,
強コンドルスパイア（風纏い）,,1200,上,17,5（6）18,14,59,D,,1,,,
ODコンドルスパイア（風纏い）,,1200,上,9,24,14,46,D,,2,,,
弱トマホークバスター,,900,上,6,11,33,49,D,,-27,,,
中トマホークバスター,,1000,上,8,12,37,56,D,,-32,,,
強トマホークバスター,,1200,上,10,14,38,61,D,,-35,,,
ODトマホークバスター,,1400,上,6,12,43,60,D,,-35,,,ODコンドルダイブにキャンセル可能
弱トマホークバスター（風纏い）,,1000,上,4,14,33,49,D,,-25,,,
中トマホークバスター（風纏い）,,1200,上,6,15,37,56,D,,-30,,,
強トマホークバスター（風纏い）,,1400,上,8,17,38,61,D,,-33,,,
ODトマホークバスター（風纏い）,,1600,上,4,15,43,60,D,,-35,,,ODコンドルダイブにキャンセル可能
コンドルダイブ,,800,上,12,着地まで,24,,D,,-24,,,
ODコンドルダイブ,,1400,上,12,着地まで,24,,D,,-23,,,
コンドルダイブ（風纏い）,,1000,上,12,着地まで,24,,D,,-23,,,
ODコンドルダイブ（風纏い）,,1600,上,,着地まで,24,,D,,-23,,,
弱メキシカンタイフーン,,2000,投げ,5,3,53,60,D,,,,,
中メキシカンタイフーン,,2400,投げ,5,3,53,60,D,,,,,
強メキシカンタイフーン,,2800,投げ,5,3,53,60,D,,,,,
ODメキシカンタイフーン,,2900,投げ,5,3,53,60,D,,,,,
