技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,350,上,6,3,8,16,+6,+10,-1,+3,,
立ち中P,,800,上,9,4,17,29,+1,+5,-4,±0,,
立ち強P,必、CA,900,上,11,4,22,35,±0,+4,-5,-1,,
立ち弱K,必、CA,300,上,4,3,12,18,+1,+5,-4,-8,,
立ち中K,必、CA,600,上,7,3,15,24,+2,+6,-1,+3,,
立ち強K,,1000,上,14,4,21,38,+1,+5,-5,-1,,
しゃがみ弱P,必、CA,300,上,6,3,8,16,+5,+9,-1,+3,,
しゃがみ中P,CA,700,上,8,3,18,28,+1,+5,-3,+1,,
しゃがみ大P,必、CA,1000,上,10,7,22,37,±0,+4,-2,+2,,
しゃがみ弱K,,200,下,5,2,12,18,+2,+6,-2,+2,,
しゃがみ中K,必、CA,500,下,10,3,18,30,+1,+5,-5,-1,,
しゃがみ大K,,900,下,11,2（6）2,24,44,D,D,-12,-8,,
ジャンプ弱P,,300,中,5,9,,,,,,,,
ジャンプ中P,,700,中,8,4,,,,,,,,
ジャンプ強P,,800,中,9,6,,,,,,,,
ジャンプ弱K,,300,中,6,6,,,,,,,,
ジャンプ中K,,500,中,8,5,,,,,,,,
ジャンプ強K,,800,中,11,6,,,,,,,,
↘+強P,,900,中,25,3,18,45,+2,+6,-3,+1,,
←+強P,必、CA,1000,上,14,4,18,35,+5,+9,-2,+2,,
空中↓+強P,,800,中,9,11,,,,,,,,
ジャンプ中P＞中P,CA,700,中,10,3,,,,,,,,
→+強P,必、CA,900,上,18,2,24,43,+1,+5,-5,-1,,
→+強P＞強P,,500,上,20,2,27,48,±0,,-9,,,
→+強P＞強P＞強P,,500,上,20,5,42,64,D,,-26,,,
弱コンドルウィンド,,,,,,,47,,,,,,最大109Fまでホールド可能
中コンドルウィンド,CA,900,上,23,5,25,51,+2,,-8,,,
強コンドルウィンド,CA,1100,上,25,5,25,53,D,,-8,,,
ODコンドルウィンド,CA,1200,上,21,5,23,47,D,,-5,,,
ODコンドルウィンド（ホールド）,,,,,,,40,,,,,,
弱コンドルスパイア,,800,上,17,13,16,45,D,,-8,,,
中コンドルスパイア,,900,上,21,13,16,49,D,,-8,,,
強コンドルスパイア,,1000,上,24,13,16,53,D,,-8,,,
ODコンドルスパイア,,1000,上,15,13,16,43,D,,-8,,,
弱コンドルスパイア（風纏い）,,1000,上,9,5（6）18,14,51,D,,+1,,,
中コンドルスパイア（風纏い）,,1100,上,13,5（6）18,14,55,D,,+1,,,
強コンドルスパイア（風纏い）,,1200,上,17,5（6）18,14,59,D,,+1,,,
ODコンドルスパイア（風纏い）,,1200,上,9,24,14,46,D,,+2,,,
弱トマホークバスター,,900,上,6,11,33,49,D,,-27,,,
中トマホークバスター,,1000,上,8,12,37,56,D,,-32,,,
強トマホークバスター,,1200,上,10,14,38,61,D,,-35,,,
ODトマホークバスター,,1400,上,6,12,43,60,D,,-35,,,ODコンドルダイブにキャンセル可能
弱トマホークバスター（風纏い）,,1000,上,4,14,33,49,D,,-25,,,
中トマホークバスター（風纏い）,,1200,上,6,15,37,56,D,,-30,,,
強トマホークバスター（風纏い）,,1400,上,8,17,38,61,D,,-33,,,
ODトマホークバスター（風纏い）,,1600,上,4,15,43,60,D,,-35,,,ODコンドルダイブにキャンセル可能
コンドルダイブ,,800,上,12,着地まで,24,,D,,-24,,,
ODコンドルダイブ,,1400,上,12,着地まで,24,,D,,-23,,,
コンドルダイブ（風纏い）,,1000,上,12,着地まで,24,,D,,-23,,,
ODコンドルダイブ（風纏い）,,1600,上,,着地まで,24,,D,,-23,,,
弱メキシカンタイフーン,,2000,投げ,5,3,53,60,D,,,,,
中メキシカンタイフーン,,2400,投げ,5,3,53,60,D,,,,,
強メキシカンタイフーン,,2800,投げ,5,3,53,60,D,,,,,
ODメキシカンタイフーン,,2900,投げ,5,3,53,60,D,,,,,
ブリージングホーク,,2200,上,13,2（5）2（7）2（8）2（8）2,54,104,D,,-36,,1F無敵2～14打撃無敵,
サンダーバード,,2500,上,9,2（2）18（9）2,63,104,D,,-60,,1F～41F無敵,
サンダーバード（風纏い）,,2800,上,9,25（6）2,63,104,D,,-59,,1F～41無敵,
スカイサンダーバード,,2500,上,9,2（2）18（9）2,63,104,D,,-57,,1F～41無敵,
スカイサンダーバード（風纏い）,,2800,上,9,25（6）2,63,104,D,,-52,,1F～41無敵,
レイジングタイフーン,,4500,投げ,7,2,106,114,D,,,,1F～8F無敵,体力25％以下で性能アップ（ダメージ5000)
