技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考,
サンドブラスト（弱）,CA,600,上,14,,33,47,-3,,-8,,,,
サンドブラスト（中）,CA,600,上,17,,30,47,±0,,-5,,,,
サンドブラスト（強）,CA,600,上,20,,27,47,3,,-2,,,,
サンドブラスト（OD）,CA,800,上,16,,24,40,D,,-2,,,,
フェイタルショット,CA,750,上,12,,42,54,D,,-21,,,,
フラッシュナックル（弱）,CA,700,上,13,3,31,46,D,,-18,,,,
フラッシュナックル（弱）ジャスト,CA,900,上,26,3,23,51,D,,-8,,,,
フラッシュナックル（弱）ホールド,CA,800,上,26,3,26,54,D,,-8,,,,
フラッシュナックル（中）,CA,900,上,19,3,27,48,3,,-10,,,,
フラッシュナックル（中）ジャスト,CA,1100,上,29,3,27,58,D,,-3,,,,
フラッシュナックル（中）ホールド,CA,1000,上,30,3,27,59,D,,-3,,,,
フラッシュナックル（強）,CA,1000,上,22,3,21,45,D,,-4,,,,
フラッシュナックル（強）ジャスト,CA,1600,上,33,3,25,60,D,,4,,,,
フラッシュナックル（強）ホールド,CA,1300,上,33,3,25,60,D,,4,,,,
フラッシュナックル（OD）,CA,800,上,15,3（15）4,16,52,D,,-22,,,,
DDT,,2000,投げ,1,,,161,D,,,,,フラッシュナックル（OD）ガード時は出ない,
エアフラッシュナックル,,700,上,14,5,,,D,,-1,,,硬直差は最低空で出してガードさせた場合のもの,
エアフラッシュナックル（ホールド）,,1000,上,23,6,,,D,,-23,,,硬直差は最低空で出してガードさせた場合のもの,
エアフラッシュナックル（OD）,,1300,上,14,6,,,D,,-23,,,,
アベンジャー,,,,0,,,45,,,,,,12F～ノーチェイサー、インパラーに派生可能,
アベンジャー＞ノーチェイサー,CA,900,上,12,7,19,37,D,,-6,,,,
アベンジャー＞インパラー,,1200,中,13,8,22,42,D,,-8,,,,
アベンジャー（OD）,,,,0,,,45,,,,,,3F～35Fガードポイント、11F～ノーチェイサー、インパラーに派生可能,
アベンジャー（OD）＞ノーチェイサー,CA,1300,上,12,7,19,37,D,,-6,,,,
アベンジャー（OD）＞インパラー,,1200,中,13,8,19,39,D,,-5,,,,
ライジングアッパー（弱）,CA,900,上,5,10,34,48,D,,-27,,,,
ライジングアッパー（中）,CA,1000,上,6,10,36,51,D,,-29,,,,
ライジングアッパー（強）,CA,1200,上,9,10,40,58,D,,-33,,,,
ライジングアッパー（OD）,,1400,上,6,10,50,65,D,,-43,,1～10F無敵,,
