技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,300,上,4,3,10,16,4,8,-1,3,,
立ち中P,必、CA,600,上,7,4,14,24,2,6,-1,3,,
立ち強P,CA,800,上,10,4,20,33,±0,4,-3,1,,
立ち弱K,必、CA,300,上,5,2,12,18,2,6,-2,2,,
立ち中K,必、CA,600,上,10,3,18,30,-2,2,-5,-1,,
立ち強K,,900,上,15,3,26,43,-2,2,-6,-2,,パニカンでよろける
しゃがみ弱P,必、CA,300,上,4,2,11,16,2,6,-2,2,,
しゃがみ中P,必、CA,600,上,7,3,11,20,6,10,-1,3,,
しゃがみ大P,,600,上,10,5,21,35,-2,2,-8,-4,,
しゃがみ弱K,,200,下,5,2,13,19,-1,3,-5,-1,,
しゃがみ中K,,600,下,8,4,16,27,2,6,-2,2,,
しゃがみ大K,,900,下,11,2,27,39,D,D,-12,-8,,
ジャンプ弱P,,300,中,5,10,,,,,,,,
ジャンプ中P,,700,中,8,4,,,,,,,,
ジャンプ強P,,800,中,9,4,,,,,,,,
ジャンプ弱K,,300,中,6,9,,,,,,,,
ジャンプ中K,,500,中,7,6,,,,,,,,
ジャンプ強K,,800,中,11,5,,,,,,,,
