技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
マネージュ・ドレ（Lv1),,2000,投げ,10,2,49,60,,,,,,
マネージュ・ドレ（Lv2),,2300,投げ,10,2,49,60,,,,,,
マネージュ・ドレ（Lv3),,2700,投げ,10,2,49,60,,,,,,
マネージュ・ドレ（Lv4),,3000,投げ,10,2,49,60,,,,,,
マネージュ・ドレ（Lv5),,3700,投げ,10,2,49,60,,,,,,
弱ロン・ポワン,CA,900,上,9,3（2）2,29,44,D,,-15,,,
中ロン・ポワン,CA,1000,上,11,3（3）3,27,46,D,,-14,,,
強ロン・ポワン,CA,800,上,14,3（3）3,24,46,D,,-11,,,
ODロン・ポワン,CA,800,上,8,4（2）3,30,46,D,,-19,,,
弱デガジェ,,1000,下,16,2（10）4,36,67,D,,-24,,,
中デガジェ,,1200,上,16,4（14）6,22,61,D,,-13,,,
強デガジェ,,1000,中,20,3,27,46,3,,-9,,,
ODデガジェ,,800,中,22,3,26,46,6,,-3,,,
弱ランヴェルセ,CA,1350,上,22,2,37,60,D,,-23,,3～21F弾無敵,メダルレベルでダメージ変化Lv2:1500Lv3:1650Lv4:1800LV5:1950
中ランヴェルセ,CA,1400,上,25,2,34,60,D,,-20,,3～24弾無敵,メダルレベルでダメージ変化Lv2:1550Lv3:1700Lv4:1850LV5:2000
強ランヴェルセ,CA,1500,上,29,2,30,60,D,,-16,,3～28弾無敵,メダルレベルでダメージ変化Lv2:1650Lv3:1800Lv4:1950LV5:2100
ODランヴェルセ,,1500,上,25,2,34,60,D,,-20,,3～24弾無敵,メダルレベルでダメージ変化Lv2:1650Lv3:1800Lv4:1950LV5:2100
ランヴェルセ（ホールド）,,,,,,,33,,,,,3～17弾無敵,
ODランヴェルセ（ホールド）,,,,,,,34,,,,,3～16弾無敵,
