技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,,400,上,6,3,11,19,±0,4,-2,2,,
立ち中P,,700,上,7,4,15,25,2,6,-1,3,,
立ち強P,,1000,上,12,2,23,36,3,7,-3,1,,
立ち強P（ホールド）,,1200,上,26,2,22,49,6,10,3,7,,
立ち弱K,必、CA,400,上,6,2,14,21,±0,4,-2,2,,
立ち中K,,800,上,11,4,16,30,4,8,-2,2,,
立ち強K,,1000,上,15,2,25,41,1,5,-3,1,,
立ち強K（ホールド）,,1200,上,27,2,25,53,D,D,1,5,,
しゃがみ弱P,必、CA,300,上,4,2,10,15,3,7,-3,1,,
しゃがみ中P,必、CA,700,上,8,3,16,26,3,7,-2,2,,
しゃがみ大P,,900,上,9,5,23,36,D,D,-6,-2,,
しゃがみ大P（ホールド）,,1000,上,21,6,21,47,D,D,-5,-1,,
しゃがみ弱K,,300,下,5,3,12,19,±0,4,-3,1,,
しゃがみ中K,,600,下,9,3,18,29,2,6,-2,2,,
しゃがみ大K,,1000,下,11,3,26,39,D,D,-11,-7,,
しゃがみ大K（ホールド）,,1200,下,23,3,23,48,D,D,-6,-2,,
ジャンプ弱P,,300,中,4,7,,,,,,,,
ジャンプ中P,,700,中,7,4,,,,,,,,
ジャンプ強P,,800,中,10,5,,,,,,,,
ジャンプ強P（ホールド）,,1500,中,28,6,,,D,D,,,,
ジャンプ弱K,,300,中,5,10,,,,,,,,
ジャンプ中K,,500,中,8,8,,,,,,,,
ジャンプ強K,,800,中,10,7,,,,,,,,
ジャンプ強K（ホールド）,,1500,中,29,6,,,D,D,,,,
立ち弱P＞弱P,必、CA,600,上,14,3,22,38,-3,,-6,,,
立ち中P＞中P,必、CA,600,上,14,2,23,38,-3,,-8,,,
立ち強P＞強P,,1000,上,24,3,19,45,D,,2,,,
ジャンプ中P＞中P,,800,中,10,3,,,,,,,,
空中↓+強P,,800,中,9,9,,,,,,,,
空中↓+強P（ホールド）,,1500,中,28,9,,,,,,,,
