技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
弱グラディウス,CA,1200,上,17,4,21,41,D,,-5,,5～10Fガードポイント,
弱グラディウス（ホールド）,CA,2400,上,30,4,20,53,D,,4,,5～26Fガードポイント,
中グラディウス,CA,1400,上,19,4,21,43,D,,-5,,5～12Fガードポイント,
中グラディウス（ホールド）,CA,2600,上,35,4,20,58,D,,4,,5～29Fガードポイント,
強グラディウス,CA,1600,上,22,4,21,46,D,,-5,,5～15Fガードポイント,
強グラディウス（ホールド）,CA,2800,上,41,4,20,64,D,,4,,5～35Fガードポイント,
ODグラディウス,CA,1700,上,19,4,21,43,D,,-2,,1F～発生までガードポイント,
ODグラディウス（ホールド）,CA,2900,上,35,4,20,58,D,,4,,1F～発生までガードポイント,
弱ディマカイルス,CA,600,上,12,4,30,45,-1,,-16,,,
弱ディマカイルス＞→+P,,600,上,13,5,23,40,D,,,,,弱ディマカイルスがヒット時のみ出せる
中ディマカイルス,CA,700,上,16,4,30,49,±0,,-16,,,
中ディマカイルス＞→+P,,600,上,13,5,24,41,D,,,,,中ディマカイルスがヒット時のみ出せる
強ディマカイルス,CA,800,上,22,4,30,55,D,,-16,,,
強ディマカイルス＞→+P,,600,上,18,5,23,45,D,,,,,強ディマカイルスがヒット時のみ出せる
ODディマカイルス,CA,600,上,16,4,26,45,D,,-12,,,
ODディマカイルス＞→+P,,600,上,13,5,23,40,D,,,,,ODディマカイルスがヒット時のみ出せる
弱ファランクス,,1500,上,25,3,18,45,D,,2,,7～12Fガードポイント,
中ファランクス,,1600,上,28,3,18,48,D,,2,,7～14Fガードポイント,
強ファランクス,,1700,上,32,3,18,52,D,,2,,10～16Fガードポイント,
ODファランクス,,1400,上,28,3,18,48,D,,2,,6～13Fガードポイント,
弱クアドリガ,CA,1400,上,20,4,24,47,D,,-6,,,
中クアドリガ,CA,1500,上,24,4,22,49,D,,-4,,,
強クアドリガ,CA,1600,上,29,4,21,53,D,,-3,,,
ODクアドリガ,CA,1500,上,24,4,24,51,D,,-6,,,
スクトゥム,,,,,,26,54～144,,,,,3F～上半身ガードポイント,ホールドで構え継続
ODスクトゥム,,,,,,29,57～87,,,,,1F～ガードポイント,
スクトゥム＞P,,900,中,15,3,23,40,1,,-3,,,
スクトゥム＞P＞P,,1000,上,20,3,36,58,D,,-21,,,
スクトゥム＞K,,1200,下,16,3,37,55,D,,-24,,,
スクトゥム＞弱P+弱K,,2500,投げ,5,3,54,61,D,,,,,
