技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P＞弱P,必、CA,600,上,14,3,22,38,-3,,-6,,,
立ち中P＞中P,必、CA,600,上,14,2,23,38,-3,,-8,,,
立ち強P＞強P,,1000,上,24,3,19,45,D,,2,,,
ジャンプ中P＞中P,,800,中,10,3,,,,,,,,
空中↓+強P,,800,中,9,9,,,,,,,,
空中↓+強P（ホールド）,,1500,中,28,9,,,,,,,,
←+強P,必、CA,900,上,8,2,21（24）,30（33）,3,7,-1,3,,
←+強P（ホールド）,必、CA,1000,上,20,2,19（24）,39（45）,13,17,4,8,,（）内の数値は空振り時のもの
→+中P,,800,上,10,2,20,31,2,6,-3,1,,
→+中P＞強P,,800,下,11,2,26,38,D,,-12,,,
→+中P＞強K,CA,800,上,11,4,23,37,D,,-10,,,
↘+強P,,900,中,21,2,21,43,±0,4,-3,1,,
↘+強P（ホールド）,,1000,中,31,2,19,51,5,9,2,6,,
↘+強P＞↘+強P,,900,中,18,2,24,43,-3,,-12,,,
→+強K,必、CA,900,上,14,4,21,38,±0,4,-3,1,,
→+強K（ホールド）,必、CA,1000,上,27,4,19,49,10,14,3,7,,
→+強K＞→+強K,,1000,上,16,5,25,45,D,,-12,,,
