技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考,
立ち弱P,必、CA,300,上,4,2,9,14,4,10,-1,3,,,
立ち中P,必、CA,600,上,6,3,14,22,5,9,1,5,,,
立ち強P,必、CA,800,上,9,3,21,32,1,5,-4,±0,,,
立ち弱K,必、CA,300,上,4,3,10,16,3,7,-1,3,,,
立ち中K,,600,上,8,3,17,27,6,10,-3,1,,,
立ち強K,,800,上,13,8,18,38,-1,3,-5,-1,,,
しゃがみ弱P,必、CA,300,上,5,3,7,14,5,9,-1,3,,,
しゃがみ中P,必、CA,600,上,6,4,13,22,4,8,1,5,,,
しゃがみ大P,CA,900,上,12,3,21,35,5,9,-6,-2,,,
しゃがみ弱K,,200,下,5,3,8,15,3,7,-1,3,,,
しゃがみ中K,必、CA,500,下,7,3,18,27,-1,3,-5,-1,,,
しゃがみ大K,,900,下,9,3,24,35,D,D,-11,-7,,,
ジャンプ弱P,,300,中,4,5,,,,,,,,,
ジャンプ中P,※必,600,中,9,5,,,,,,,,前ジャンプの時のみ必殺技キャンセル可能,
ジャンプ強P,,800,中,8,3（2）3,,,,,,,,,
ジャンプ弱K,,300,中,5,5,,,,,,,,,
ジャンプ中K,,500,中,7,6,,,,,,,,,
ジャンプ強K,,800,中,10,5,,,,,,,,,
