技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考,
弱スピニングミキサー,CA,700,上,8,3（5）2（4）2,19,42,2,,-3,,,,
中スピニングミキサー,CA,800,上,8,3（2）2（5）2（3）2,48,74,D,,-45,,,,
強スピニングミキサー,,1200,上,6,2（2）3（3）3（4）3（4）3（4）3,38,77,D,,-55,,,,
ODスピニングミキサー,CA,1400,上,6,3（2）2（3）2（4）2,49,72,D,,-42,,1～8F無敵,,
弱スピニングミキサー（気流強化）,CA,1000,上,6,2（4）3（3）3（4）3（3）3（4）3（3）3（4）3（3）3,15,74,4,,2,,,,
中スピニングミキサー（気流強化）,CA,1400,上,5,3（2）2（4）2（3）2（6）2（3）2（5）2（3）2（5）2（3）2,56,115,D,,-78,,,,
強スピニングミキサー（気流強化）,,1800,上,5,2（2）3（3）3（4）3（3）3（2）3（2）3（2）3（3）3,53,104,D,,-83,,,,
ODスピニングミキサー（気流強化）,,1400,上,4,3（2）3（2）4（2）4（2）4（2）4（2）4（2）4（2）4（2）4,55,114,D,,-72,,,,
弱イーグルスパイク,,1100,上,15,13,31,58,D,,-36,,,,
中イーグルスパイク,,1300,上,21,13,26,59,D,,-36,,,,
強イーグルスパイク,,1500,上,26,13,27,65,D,,-36,,,,
ODイーグルスパイク,,1000,上,21,13,26,59,D,,-36,,,,
弱イーグルスパイク（気流強化）,,1300,上,14,13,33,59,D,,-24,,,,
中イーグルスパイク（気流強化）,,1500,上,17,15,50,81,D,,-15,,,,
強イーグルスパイク（気流強化）,,1500,上,17,15,50,81,D,,-15,,,,
ODイーグルスパイク（気流強化）,,1300,上,18,14,16,53,D,,-24,,7～37F弾無敵,,
ワールウインド・ショット,CA,600,上,17,,35,52,-1,,-9,,,,
ワールウインド・ショット（ホールド）,CA,1000,上,53,,35,88,16,,8,,,,
ODワールウインド・ショット,CA,700,上,17,,35,52,D,,-2,,,,
ODワールウインド・ショット（ホールド）,CA,1200,上,44,,35,79,D,,10,,,,
弱アラビアン・サイクロン,CA,800,上,15,3（1）15,14,47,2,,-6,,,,
中アラビアン・サイクロン,CA,900,上,20,3（1）15,12,50,4,,-4,,,,
強アラビアン・サイクロン,CA,1000,上,27,3（1）15,24,69,D,,-2,,,,
ODアラビアン・サイクロン,CA,800,上,20,3（1）26,,49,D,,-10,,,,
ウイング・ストローク,,,,,,,67,,,,,,41F目からJ攻撃可能,
アサルト・ロール,,,,,,,33,,,,,,,
アサルト・ネイル,CA,600,上,8,3,26,45,D,,-9,,,,
弱アラビアン・スカイハイ,,600,上,13,9,,,,,,,,,
中アラビアン・スカイハイ,,700,上,18,9,,,,,,,,ホールドで性能変化（ダメージ2600→2800→3000）,
強アラビアン・スカイハイ,,800,上,21,9,,,,,,,,ホールドで性能変化（ダメージ3000→3200→3400）,
ODアラビアン・スカイハイ,,1500,上,13,9,,,,,,,,体力25％以下で性能アップ（ダメージ4500）,
