技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,300,上,4,3,7,13,4,10,-1,3,,
立ち中P,必、CA,600,上,6,4,11,20,7,11,-1,3,,
立ち強P,必、CA,800,上,10,5,18,32,3,7,-2,2,,
立ち弱K,必、CA,300,上,5,3,11,18,2,6,-4,±0,,
立ち中K,,700,上,9,3,18,29,4,8,-4,±0,,
立ち強K,,900,上,12,4,20,35,9,13,1,5,,
しゃがみ弱P,必、CA,300,上,4,2,9,14,4,8,-1,3,,
しゃがみ中P,必、CA,600,上,6,3,14,22,5,9,±0,4,,
しゃがみ大P,必、CA,800,上,9,6,21,35,1,5,-7,-3,,
しゃがみ弱K,,200,下,5,2,10,16,3,7,-3,1,,
しゃがみ中K,必、CA,500,下,8,3,19,29,1,5,-6,-2,,
しゃがみ大K,,900,下,9,3,23,34,D,D,-12,-8,,
ジャンプ弱P,,300,中,4,10,,,,,,,,
ジャンプ中P,※必,700,中,8,5,,,,,,,,前ジャンプの時のみ必殺技キャンセル可能
ジャンプ強P,,800,中,9,6,,,,,,,,
ジャンプ弱K,,300,中,6,10,,,,,,,,
ジャンプ中K,,500,中,7,6,,,,,,,,
ジャンプ強K,,800,中,12,8,,,,,,,,
