技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
弱波動拳,CA,600,上,16,,31,47,-1,,-5,,,
中波動拳,CA,600,上,14,,33,47,-3,,-7,,,
強波動拳,CA,600,上,12,,35,47,-5,,-9,,,
OD波動拳,CA,800,上,12,,28,40,D,,-1,,,
波動拳（電刃練気）,CA,800,上,12,,30,42,D,,-3,,,
OD波動拳（電刃練気）,CA,1000,上,12,,26,38,D,,2,,,
弱昇竜拳,CA,1100,上,5,10,33,47,D,,-23,,,
中昇竜拳,CA,1200,上,6,10,42,57,D,,-32,,,
強昇竜拳,CA,1400,上,7,10,49,65,D,,-39,,,
OD昇竜拳,,1600,上,6,10,52,67,D,,-40,,1～8F無敵,
弱竜巻旋風脚,,800,上,12,4,32,46,D,,-15,,,
中竜巻旋風脚,,900,上,14,2（13）2,31,61,D,,-13,,,
強竜巻旋風脚,,1000,上,16,2（13）2（13）2,31,78,D,,-13,,,
OD竜巻旋風脚,,1000,上,13,2（4）2（4）2（3）2（4）2,23,60,D,,-14,,,
空中竜巻旋風脚,,900,上,11,2（5）2（6）2,,,,,,,,
OD空中竜巻旋風脚,,1500,上,11,2（1）3（1）3（1）3（2）2,,,,,,,,
弱上段足刀蹴り,CA,1000,上,15,9,22,45,D,,-11,,,
中上段足刀蹴り,CA,1100,上,18,9,19,45,D,,-8,,,
強上段足刀蹴り,CA,1300,上,29,9,16,53,D,,-5,,,
OD上段足刀蹴り,CA,800,上,18,5,33,55,D,,-18,,,
弱波動掌,CA,700,上,12,6,18,35,2,,-4,,,
中波動掌,CA,800,上,19,6,17,41,2,,-6,,,
強波動掌,CA,800,上,30,6,19,54,D,,2,,,
OD波動掌,CA,900,上,18,6,20,43,3,,3,,,
波動掌（電刃練気）,CA,800,上,21,6,18,44,D,,3,,,
OD波動掌（電刃練気）,CA,600,上,18,6,19,42,D,,4,,,
電刃練気,,,,,,,52,,,,,,
