技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,300,上,4,3,7,13,+4,+10,-1,+3,,
立ち中P,必、CA,600,上,6,4,11,20,+7,+11,-1,+3,,
立ち強P,必、CA,800,上,10,5,18,32,+3,+7,-2,+2,,
立ち弱K,必、CA,300,上,5,3,11,18,+2,+6,-4,±0,,
立ち中K,,700,上,9,3,18,29,+4,+8,-4,±0,,
立ち強K,,900,上,12,4,20,35,+9,+13,+1,+5,,
しゃがみ弱P,必、CA,300,上,4,2,9,14,+4,+8,-1,+3,,
しゃがみ中P,必、CA,600,上,6,3,14,22,+5,+9,±0,+4,,
しゃがみ大P,必、CA,800,上,9,6,21,35,+1,+5,-7,-3,,
しゃがみ弱K,,200,下,5,2,10,16,+3,+7,-3,+1,,
しゃがみ中K,必、CA,500,下,8,3,19,29,+1,+5,-6,-2,,
しゃがみ大K,,900,下,9,3,23,34,D,D,-12,-8,,
ジャンプ弱P,,300,中,4,10,,,,,,,,
ジャンプ中P,※必,700,中,8,5,,,,,,,,前ジャンプの時のみ必殺技キャンセル可能
ジャンプ強P,,800,中,9,6,,,,,,,,
ジャンプ弱K,,300,中,6,10,,,,,,,,
ジャンプ中K,,500,中,7,6,,,,,,,,
ジャンプ強K,,800,中,12,8,,,,,,,,
→+中P,,600,中,20,4,19,42,+2,+6,-3,+1,,
→+強P,,800,上,20,5,16,40,+6,+10,+1,+5,,
←+強P,必、CA,800,上,7,4,25,35,+1,+5,-13,-9,,
←+強K,必、CA,800,上,10,5（5）3,21,43,±0,+4,-4,±0,,
→+強K,CA,800,上,16,4,20,39,+2,+6,-4,±0,,
立ち強P＞強K,,1000,上,9,4,20,32,D,,-8,,,
立ち中P＞弱K,,300,上,5,3,16,23,+1,,-7,,,
立ち中P＞弱K＞強K,,900,上,17,4,20,40,D,,-8,,,
弱波動拳,CA,600,上,16,,31,47,-1,,-5,,,
中波動拳,CA,600,上,14,,33,47,-3,,-7,,,
強波動拳,CA,600,上,12,,35,47,-5,,-9,,,
OD波動拳,CA,800,上,12,,28,40,D,,-1,,,
波動拳（電刃練気）,CA,800,上,12,,30,42,D,,-3,,,
OD波動拳（電刃練気）,CA,1000,上,12,,26,38,D,,+2,,,
弱昇竜拳,CA,1100,上,5,10,33,47,D,,-23,,,
中昇竜拳,CA,1200,上,6,10,42,57,D,,-32,,,
強昇竜拳,CA,1400,上,7,10,49,65,D,,-39,,,
OD昇竜拳,,1600,上,6,10,52,67,D,,-40,,1～8F無敵,
弱竜巻旋風脚,,800,上,12,4,32,46,D,,-15,,,
中竜巻旋風脚,,900,上,14,2（13）2,31,61,D,,-13,,,
強竜巻旋風脚,,1000,上,16,2（13）2（13）2,31,78,D,,-13,,,
OD竜巻旋風脚,,1000,上,13,2（4）2（4）2（3）2（4）2,23,60,D,,-14,,,
空中竜巻旋風脚,,900,上,11,2（5）2（6）2,,,,,,,,
OD空中竜巻旋風脚,,1500,上,11,2（1）3（1）3（1）3（2）2,,,,,,,,
弱上段足刀蹴り,CA,1000,上,15,9,22,45,D,,-11,,,
中上段足刀蹴り,CA,1100,上,18,9,19,45,D,,-8,,,
強上段足刀蹴り,CA,1300,上,29,9,16,53,D,,-5,,,
OD上段足刀蹴り,CA,800,上,18,5,33,55,D,,-18,,,
弱波動掌,CA,700,上,12,6,18,35,+2,,-4,,,
中波動掌,CA,800,上,19,6,17,41,+2,,-6,,,
強波動掌,CA,800,上,30,6,19,54,D,,+2,,,
OD波動掌,CA,900,上,18,6,20,43,+3,,+3,,,
波動掌（電刃練気）,CA,800,上,21,6,18,44,D,,+3,,,
OD波動掌（電刃練気）,CA,600,上,18,6,19,42,D,,+4,,,
電刃練気,,,,,,,52,,,,,,
真空波動拳,,2000,上,8,,79,87,D,,-24,,1F無敵2～8打撃無敵,
真空波動拳（電刃練気）,,2400,上,8,,79,87,D,,-24,,1F無敵2～8打撃無敵,
真・波動掌,,2600,上,12,6,39,56,D,,-20,,1～13F無敵,ホールドで性能変化（ダメージ2600→2800→3000）
真・波動掌（電刃練気）,,3000,上,12,6,39,56,D,,-20,,1～13F無敵,ホールドで性能変化（ダメージ3000→3200→3400）
真・昇竜拳,,4000,上,5,12,71,87,D,,-52,,1～16F無敵,体力25％以下で性能アップ（ダメージ4500）
