技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
ダブルラリアット,CA,1200,上,15,2（3）2（4）2（8）2（6）2,27,72,D,,-12,,6F～弾無敵,初段以外しゃがみに当たらない
ODダブルラリアット,CA,1500,上,12,2（2）2（3）2（6）2（4）2,26,62,D,,-11,,1F～弾無敵,2段目以降しゃがみに当たらない
弱スクリューパイルドライバー,,2500,投げ,5,3,54,61,D,,,,,
中スクリューパイルドライバー,,2900,投げ,5,3,54,61,D,,,,,
強スクリューパイルドライバー,,3300,投げ,5,3,54,61,D,,,,,
ODスクリューパイルドライバー,,3400,投げ,5,3,5,61,D,,,,,
ボルシチダイナマイト,,2900,投げ,4,3,着地まで+37,,D,,,,,
ODボルシチダイナマイト,,3000,投げ,4,3,着地まで+37,,D,,,,,
ロシアンスープレックス,,2900,投げ,10,2,50,61,D,,,,,
ODロシアンスープレックス,,3200,投げ,10,2,50,61,D,,,,,
シベリアンエクスプレス,,2700,投げ,11+相手に接触するまで,2,41,,D,,,,,11F～ガードポイント
ODシベリアンエクスプレス,,3000,投げ,11+相手に接触するまで,2,40,,D,,,,,3F～ガードポイント
ツンドラストーム,,2400,投げ,6,50,24,79,D,,,,,立ちK技限定当身
