技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
↘+中P,必、CA,800,上,7,3,21,30,-1,3,-3,1,,
→+中K,,600,上,14,7,14,34,±0,4,-4,±0,,
→+強P,必、CA,900,上,14,5,15,33,6,10,4,8,,
→+強K,,1300,中,22,7,25,53,D,D,-12,-8,,
↘+強K,,1000,上,16,4,40,59,D,D,-18,-14,,
空中↓+強P,,800,中,9,9,,,,,,,,
垂直ジャンプ↑+強P,,800,中,8,4,,,,,,,,
立ち中P＞中P,,600,上,9,4,20,32,2,,-6,,,
立ち中P＞中P＞中P,,900,上,15,3,32,49,D,,-17,,,
↓↓+中K,,500,上,9,3,17,28,4,8,-3,1,,
↓↓+中K＞中K,,500,上,9,3,19,30,-3,,-4,,,
↓↓+中K＞中K＞中K,必、CA,700,上,10,3,24,36,-2,,-10,,,
