技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考
立ち弱P,必、CA,400,上,7,3,9,18,+4,+8,+2,+6,,
立ち中P,,700,上,9,4,17,29,+2,+6,-2,+2,,
立ち強P,,1000,上,16,3,22,40,+3,+7,-3,+1,,
立ち強P（ホールド）,,1400,上,32,3,22,56,D,D,+3,+7,,4F～ガードポイント
立ち弱K,必、CA,400,上,7,2,17,17,-2,+2,-4,±0,,
立ち中K,,800,上,10,4,19,32,+1,+5,-4,±0,,
立ち強K,,1000,上,13,4,21,37,+3,+7,+1,+5,,
しゃがみ弱P,必、CA,300,上,6,2,8,15,+6,+10,+1,+5,,
しゃがみ中P,必、CA,700,上,8,3,16,26,+3,+7,-1,+3,,
しゃがみ大P,必、CA,1000,上,12,8,35,54,D,D,-19,-15,,
しゃがみ弱K,,250,下,4,3,12,18,±0,+4,-3,+1,,
しゃがみ中K,,700,下,9,3,18,29,+2,+6,-2,+2,,
しゃがみ大K,,1200,下,12,3,27,41,D,D,-13,-9,,
ジャンプ弱P,,300,中,5,7,,,,,,,,
ジャンプ中P,,700,中,8,5,,,,,,,,
ジャンプ強P,,800,中,9,6,,,,,,,,
ジャンプ弱K,,300,中,5,10,,,,,,,,
ジャンプ中K,,500,中,8,8,,,,,,,,
ジャンプ強K,,800,中,10,7,,,,,,,,
ジャンプ強K（ホールド）,,1500,中,32,6,,,,,,,,
↘+中P,必、CA,800,上,7,3,21,30,-1,+3,-3,+1,,
→+中K,,600,上,14,7,14,34,±0,+4,-4,±0,,
→+強P,必、CA,900,上,14,5,15,33,+6,+10,+4,+8,,
→+強K,,1300,中,22,7,25,53,D,D,-12,-8,,
↘+強K,,1000,上,16,4,40,59,D,D,-18,-14,,
空中↓+強P,,800,中,9,9,,,,,,,,
垂直ジャンプ↑+強P,,800,中,8,4,,,,,,,,
立ち中P＞中P,,600,上,9,4,20,32,+2,,-6,,,
立ち中P＞中P＞中P,,900,上,15,3,32,49,D,,-17,,,
↓↓+中K,,500,上,9,3,17,28,+4,+8,-3,+1,,
↓↓+中K＞中K,,500,上,9,3,19,30,-3,,-4,,,
↓↓+中K＞中K＞中K,必、CA,700,上,10,3,24,36,-2,,-10,,,
ダブルラリアット,CA,1200,上,15,2（3）2（4）2（8）2（6）2,27,72,D,,-12,,6F～弾無敵,初段以外しゃがみに当たらない
ODダブルラリアット,CA,1500,上,12,2（2）2（3）2（6）2（4）2,26,62,D,,-11,,1F～弾無敵,2段目以降しゃがみに当たらない
弱スクリューパイルドライバー,,2500,投げ,5,3,54,61,D,,,,,
中スクリューパイルドライバー,,2900,投げ,5,3,54,61,D,,,,,
強スクリューパイルドライバー,,3300,投げ,5,3,54,61,D,,,,,
ODスクリューパイルドライバー,,3400,投げ,5,3,5,61,D,,,,,
ボルシチダイナマイト,,2900,投げ,4,3,着地まで+37,,D,,,,,
ODボルシチダイナマイト,,3000,投げ,4,3,着地まで+37,,D,,,,,
ロシアンスープレックス,,2900,投げ,10,2,50,61,D,,,,,
ODロシアンスープレックス,,3200,投げ,10,2,50,61,D,,,,,
シベリアンエクスプレス,,2700,投げ,11+相手に接触するまで,2,41,,D,,,,,11F～ガードポイント
ODシベリアンエクスプレス,,3000,投げ,11+相手に接触するまで,2,40,,D,,,,,3F～ガードポイント
ツンドラストーム,,2400,投げ,6,50,24,79,D,,,,,立ちK技限定当身
エリアルロシアンスクラム,,3500,投げ,11,7,60,77,D,,,,1～17F無敵,
サイクロンラリアット,,3160,上,18,102,52,171,D,,-35,,1～18F無敵,
ボリショイストームバスター,,4800,投げ,7,1,116,123,D,,,,1～7F無敵,体力25％以下で性能アップ（ダメージ5300）
